name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
ikuhisa minowa,"Apr. 14, 2000",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,2.0,1.82,1.89,0.07,461
ildemar alcantara,"Jan. 20, 2013",74.5,185.5,78.0,44.0,2.0,3.0,2.0,0.92,0.0,837
ilia topuria,"Oct. 10, 2020",67.0,155.0,69.0,37.0,5.0,4.0,1.96,1.07,1.25,562
iliarde santos,"May. 19, 2013",65.0,126.0,66.0,38.2,3.0,6.0,1.66,0.0,0.0,541
ilir latifi,"Apr. 6, 2013",70.0,249.5,73.5,41.0,2.0,3.0,2.11,0.3,0.4,559
impa kasanganay,"Aug. 29, 2020",71.0,170.5,75.0,40.5,5.0,4.0,1.75,0.25,0.0,601
ion cutelaba,"Jun. 19, 2016",73.0,205.0,75.0,41.0,4.0,3.0,3.77,0.1,0.19,490
irene aldana,"Dec. 18, 2016",69.0,136.0,68.5,38.5,5.0,7.0,0.15,0.22,0.22,879
irina alekseeva,"Apr. 29, 2023",68.0,135.5,67.0,38.0,4.0,5.0,0.47,0.47,0.47,644
irwin rivera,"May. 16, 2020",66.0,135.5,67.0,36.0,3.0,5.0,1.0,0.0,0.0,900
isaac dulgarian,"Aug. 12, 2023",67.0,145.5,71.0,39.0,3.0,2.0,5.15,2.06,0.0,582
isaac vallie-flagg,"May. 20, 2012",68.0,156.0,70.0,39.0,6.0,6.0,0.2,0.0,0.0,900
isabela de padua,"Sep. 27, 2025",63.0,130.5,64.0,36.0,1.0,2.0,2.0,1.0,0.0,900
isi fitikefu,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
isis verbeek,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,3.0,4.0,0.0,0.0,0.0,900
islam dulatov,"Jul. 19, 2025",75.0,171.0,75.0,43.0,9.0,4.0,2.2,0.0,4.39,205
islam makhachev,"May. 23, 2015",70.0,170.0,70.5,40.5,3.0,2.0,3.2,1.13,0.35,612
ismael bonfim,"Jan. 21, 2023",68.0,156.0,71.5,35.0,6.0,3.0,0.96,0.0,0.64,565
ismail naurdiev,"Feb. 23, 2019",72.0,186.0,74.0,40.5,4.0,2.0,1.5,0.17,0.0,900
israel adesanya,"Feb. 11, 2018",76.0,185.0,80.0,44.5,4.0,3.0,0.05,0.14,0.62,1055
issa isakov,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
issei tamura,"Feb. 25, 2012",65.0,135.0,65.7,37.0,2.0,5.0,0.92,0.0,1.83,328
istela nunes,"Oct. 16, 2021",64.0,115.0,66.0,37.0,4.0,4.0,0.0,0.0,0.29,631
iuri alcantara,"Aug. 27, 2011",69.0,136.0,71.0,40.0,3.0,3.0,1.44,0.84,0.42,561
ivan erslan,"Sep. 28, 2024",74.0,205.0,72.5,42.0,3.0,5.0,0.5,0.0,0.0,900
ivan jorge,"Sep. 4, 2013",69.0,154.0,74.0,40.2,3.0,3.0,1.56,0.62,0.0,721
ivan menjivar,"Jun. 19, 2004",66.0,146.0,68.6,37.7,3.0,3.0,0.56,0.98,0.28,586
ivan salaverry,"May. 10, 2002",72.0,185.0,74.3,41.1,3.0,1.0,0.49,2.47,0.49,455
ivan serati,"Jan. 17, 2009",73.0,204.0,74.6,41.9,1.0,5.0,0.0,0.0,0.0,175
ivan shtyrkov,"Apr. 20, 2019",72.0,213.0,76.6,41.7,0.0,0.0,0.0,0.0,0.0,0
ivan valenzuela,"Sep. 27, 2025",71.4,186.0,77.3,42.0,0.0,10.0,0.0,0.0,0.0,25
ivana petrovic,"Jul. 1, 2023",68.0,125.5,70.0,40.0,2.0,2.0,2.12,0.8,0.0,847
iwo baraniewski,"Sep. 27, 2025",73.6,205.0,75.6,43.0,12.0,6.0,0.0,0.0,45.0,20
izabela badurek,"Apr. 11, 2015",64.0,115.6,65.0,36.6,4.0,5.0,1.75,0.0,0.0,514
