name,octagon_debut,height,weight,reach,leg_reach,sig_strikes_landed_per_minute,sig_strikes_absorbed_per_minute,takedowns_avg,submission_avg,knockdown_avg,fight_time_avg
jutaro nakao,"Sep. 28, 2001",69.0,169.0,71.6,40.6,1.0,2.0,0.0,0.0,0.74,608
jessica andrade,"Jul. 27, 2013",61.5,116.0,62.0,35.0,6.0,6.0,2.1,0.31,0.37,573
kb bhullar,"Oct. 10, 2020",76.0,186.0,78.0,44.5,4.0,5.0,0.0,0.0,0.0,501
kj noons,"Mar. 4, 2012",70.0,156.0,72.0,39.0,4.0,4.0,0.08,0.0,0.39,648
kaan ofli,"Aug. 24, 2024",67.0,145.0,66.0,37.0,2.0,3.0,0.0,0.0,0.0,645
kai asakura,"Dec. 7, 2024",68.0,126.0,69.0,37.0,2.0,4.0,0.0,0.0,0.0,502
kai kamaka,"Aug. 15, 2020",67.0,144.5,69.0,38.0,5.0,5.0,1.93,0.28,0.28,817
kai kara-france,"Dec. 2, 2018",64.0,125.0,69.0,37.0,4.0,3.0,0.56,0.0,0.75,737
kaik brito,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,3.0,4.0,0.0,2.0,0.0,900
kailan hill,"Sep. 27, 2025",72.6,185.5,75.2,43.1,3.0,5.0,3.0,0.0,0.0,900
kailin curran,"Nov. 22, 2014",64.0,116.0,65.0,37.0,4.0,5.0,2.0,0.55,0.0,706
kajan johnson,"Jun. 14, 2014",71.0,155.0,75.5,43.0,2.0,2.0,1.54,0.17,0.34,750
kaleio romero,"Sep. 27, 2025",70.0,146.0,69.0,38.0,3.0,3.0,1.0,1.0,0.0,900
kali robbins,"Sep. 27, 2025",63.0,116.0,63.5,36.0,4.0,9.0,2.0,0.0,0.0,900
kalib starnes,"Jun. 24, 2006",75.0,186.0,75.4,42.7,3.0,4.0,1.46,0.59,0.0,615
kalindra faria,"Oct. 7, 2017",67.0,125.0,63.0,38.0,2.0,1.0,1.31,0.66,0.0,457
kaloyan kolev,"Sep. 27, 2025",74.0,205.5,73.0,40.5,1.0,4.0,10.11,0.0,0.0,267
kamal shalorus,"Mar. 20, 2011",68.0,155.0,70.5,38.5,3.0,3.0,2.07,0.0,0.62,621
kamaru usman,"Jul. 12, 2015",72.0,171.0,76.0,41.0,4.0,3.0,2.79,0.09,0.44,1070
kamuela kirk,"Jun. 5, 2021",70.0,155.5,75.0,41.0,3.0,6.0,1.5,1.2,0.0,751
kanako murata,"Nov. 14, 2020",61.0,114.5,62.0,34.0,2.0,2.0,3.38,0.75,0.0,800
karine gevorgyan,"Dec. 1, 2017",64.0,130.0,63.0,37.0,1.0,2.0,0.0,0.0,0.0,100
karine silva,"Jun. 4, 2022",65.0,125.0,67.0,37.0,3.0,3.0,2.37,1.89,0.24,543
karl reed,"Aug. 15, 2017",75.0,205.5,78.0,45.0,2.0,4.0,1.06,0.0,0.0,853
karl roberson,"Jul. 25, 2017",73.0,202.5,74.0,41.0,3.0,2.0,0.72,0.54,0.36,453
karl williams,"Mar. 11, 2023",75.0,243.0,79.0,43.5,3.0,2.0,4.2,0.2,0.2,900
karlos vemola,"Jul. 3, 2010",72.0,186.0,75.0,41.0,2.0,2.0,1.93,1.66,0.0,544
karo parisyan,"Sep. 26, 2003",70.0,170.0,71.2,39.5,2.0,2.0,5.27,0.99,0.0,696
karol rosa,"Aug. 31, 2019",65.0,136.0,67.5,36.0,6.0,5.0,1.17,0.17,0.17,900
karolina kowalkiewicz,"Dec. 19, 2015",63.0,115.5,64.0,38.0,6.0,6.0,0.31,0.19,0.0,795
karolina wojcik,"Sep. 27, 2025",63.6,115.5,63.7,37.3,3.0,1.0,2.0,1.0,0.0,900
kathryn paprocki,"Sep. 27, 2025",63.0,115.5,63.0,36.0,1.0,4.0,0.0,0.0,0.0,900
katlyn cerminara,"Jul. 14, 2016",69.0,125.0,68.0,42.0,5.0,4.0,0.31,0.31,0.06,850
katsuhisa fuji,"Nov. 19, 1999",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,4.0,4.0,2.14,2.14,0.0,210
katsunori kikuno,"Jan. 4, 2014",68.0,145.0,66.0,37.8,3.0,2.0,1.88,0.84,0.21,430
kaue fernandes,"Nov. 4, 2023",69.0,155.0,73.0,40.0,0.0,6.0,0.0,0.0,0.0,290
kay hansen,"Jun. 27, 2020",62.0,118.5,63.0,36.0,3.0,3.0,1.83,0.78,0.0,862
kayla harrison,"Apr. 13, 2024",68.0,135.0,66.0,37.0,4.0,1.0,2.84,0.95,0.0,634
kaynan kruschewsky,"Nov. 4, 2023",72.0,154.0,73.0,43.5,6.0,6.0,2.74,2.06,0.0,438
kazuhiro nakamura,"Sep. 22, 2007",70.0,206.0,71.8,40.4,1.0,24.0,1.5,0.0,0.0,600
kazula vargas,"Aug. 10, 2019",68.0,155.0,71.5,37.0,4.0,2.0,0.4,0.4,0.0,568
kazuma maruyama,"Sep. 27, 2025",70.6,156.0,71.7,40.6,4.0,2.0,4.79,0.0,0.0,188
kazuo misaki,"Mar. 4, 2012",70.0,170.0,71.2,39.5,3.0,3.0,0.72,0.61,0.2,734
kazushi sakuraba,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,2.0,1.26,1.74,0.24,499
keichiro yamamiya,"Nov. 19, 1999",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
keifer roberts,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
keigo kunihara,"Oct. 7, 2005",72.0,228.0,75.8,42.5,0.0,2.0,4.97,2.49,0.0,362
keisuke sasu,"Jun. 9, 2022",68.0,146.0,70.8,38.8,3.0,2.0,3.76,1.88,0.0,479
keita nakamura,"Dec. 13, 2006",71.0,171.0,73.0,40.0,2.0,3.0,1.65,0.35,0.35,861
keith berish,"Jul. 6, 2014",72.0,184.6,73.5,38.0,4.0,5.0,1.76,0.0,0.0,512
keith hackney,"Sep. 9, 1994",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
keith jardine,"Nov. 5, 2005",74.0,205.0,76.2,42.6,3.0,3.0,1.18,0.71,0.32,571
keith mielke,"Feb. 16, 1996",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
keith rockel,"Jan. 11, 2002",72.0,185.0,74.3,41.1,1.0,0.0,4.63,4.63,0.0,292
keith wisniewski,"Nov. 19, 2005",71.0,170.5,72.2,40.6,2.0,5.0,1.57,0.26,0.0,688
kelly dullanty,"Mar. 22, 2002",68.0,154.0,70.8,38.4,0.0,1.0,0.0,0.0,0.0,178
kelly faszholz,"Feb. 22, 2016",68.0,134.5,67.0,40.0,4.0,4.0,0.0,0.0,0.0,898
kelly velasco,"Aug. 29, 2017",69.0,135.0,70.2,39.1,2.0,6.0,0.0,0.0,0.0,900
kelvin gastelum,"Apr. 14, 2013",69.0,185.0,71.5,39.5,4.0,4.0,1.01,0.09,0.44,823
ken shamrock,"Nov. 12, 1993",73.0,204.0,74.6,41.9,1.0,4.0,0.94,2.52,0.31,333
ken stone,"Jun. 5, 2011",68.0,135.0,69.6,38.2,4.0,3.0,1.24,0.62,0.0,290
kendall grove,"Jun. 24, 2006",78.0,185.0,77.9,45.2,2.0,2.0,0.49,1.67,0.29,612
kenichi yamamoto,"Nov. 19, 1999",71.4,169.0,72.8,41.6,0.0,2.0,0.0,0.32,0.0,699
kennedy freeman,"Sep. 6, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kennedy nzechukwu,"Aug. 22, 2017",77.0,238.0,83.0,47.0,5.0,5.0,0.55,0.22,0.44,507
kenneth bergh,"Sep. 27, 2025",74.0,209.4,76.0,42.7,0.0,0.0,0.0,0.0,0.0,0
kenneth cross,"Sep. 27, 2025",68.8,155.5,70.6,40.7,2.0,1.0,1.0,0.0,0.0,900
kenny florian,"Apr. 9, 2005",70.0,145.0,74.0,40.2,2.0,2.0,2.22,1.27,0.08,632
kenny robertson,"Feb. 5, 2011",70.0,170.5,74.0,41.4,4.0,3.0,1.37,0.85,0.34,586
kerry kasik,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kerry schall,"Nov. 5, 2005",75.0,265.0,79.0,42.8,1.0,5.0,0.0,0.0,0.0,508
kerry vera,"Sep. 27, 2025",67.0,135.0,69.6,38.1,0.0,0.0,0.0,0.0,0.0,0
ketlen souza,"Jun. 3, 2023",63.0,116.0,63.0,35.0,5.0,4.0,0.3,0.3,0.3,597
ketlen vieira,"Oct. 2, 2016",68.0,146.0,68.0,39.5,3.0,4.0,1.28,0.53,0.0,919
kevin aguilar,"Nov. 30, 2018",67.0,145.0,72.0,38.0,4.0,5.0,0.16,0.0,0.32,800
kevin borjas,"Nov. 11, 2023",65.0,126.0,68.0,36.0,4.0,6.0,0.0,0.0,0.23,799
kevin burns,"Jun. 7, 2008",71.0,171.0,73.1,40.4,3.0,4.0,0.28,0.85,0.57,634
kevin casey,"Apr. 14, 2013",71.0,185.0,77.0,41.0,2.0,4.0,0.79,0.4,0.2,516
kevin christian,"Sep. 27, 2025",73.6,205.0,75.6,43.0,1.0,2.0,0.0,3.23,0.0,557
kevin croom,"Sep. 12, 2020",71.0,136.0,73.5,39.0,3.0,3.0,0.48,0.48,0.48,470
kevin gray,"Aug. 8, 2017",64.0,126.0,67.0,37.1,3.0,4.0,0.0,0.0,0.0,174
kevin holland,"Aug. 4, 2018",75.0,170.0,81.0,40.0,4.0,3.0,0.82,0.56,0.36,629
kevin jackson,"Jul. 27, 1997",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kevin jordan,"Jun. 4, 2005",74.0,247.0,77.1,41.4,2.0,2.0,0.0,0.62,0.0,481
kevin jousset,"Sep. 10, 2023",74.0,171.0,75.0,41.0,1.0,1.0,2.0,0.0,0.0,900
kevin lee,"Feb. 2, 2014",70.0,191.0,77.0,39.0,4.0,4.0,3.18,0.76,0.07,686
kevin natividad,"Oct. 31, 2020",66.0,135.5,70.0,38.0,3.0,4.0,3.66,0.0,0.52,574
kevin randleman,"Mar. 5, 1999",70.0,214.0,75.7,41.2,1.0,1.0,2.0,0.82,0.45,620
kevin rosier,"Nov. 12, 1993",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kevin souza,"Sep. 4, 2013",72.0,146.0,74.0,44.0,5.0,3.0,0.0,0.0,0.9,500
kevin syler,"Sep. 27, 2025",69.0,156.0,71.9,39.7,6.0,4.0,1.0,2.0,0.0,900
kevin szaflarski,"Sep. 27, 2025",77.0,233.4,77.5,46.0,1.0,8.0,0.0,0.0,0.0,900
kevin vallejos,"Mar. 15, 2025",67.0,146.0,68.0,37.0,6.0,5.0,0.84,0.0,0.84,533
khabib nurmagomedov,"Jan. 21, 2012",70.0,155.0,70.0,40.0,4.0,2.0,5.32,0.79,0.17,793
khadis ibragimov,"Aug. 31, 2019",75.0,206.0,78.5,41.0,4.0,4.0,0.97,0.32,0.0,694
khadzhimurat bestaev,"Sep. 27, 2025",72.0,184.0,74.6,47.3,6.0,10.0,0.0,0.0,0.0,78
khalid murtazaliev,"Sep. 15, 2018",73.2,185.0,76.3,42.8,5.0,0.0,7.5,0.0,0.0,600
khalid taha,"Jul. 22, 2018",67.0,135.0,68.0,38.0,3.0,4.0,0.0,0.24,0.49,617
khalil rountree jr,"Jul. 9, 2016",73.0,206.0,76.5,44.0,4.0,4.0,0.0,0.09,1.3,572
khama worthy,"Aug. 17, 2019",71.0,155.0,74.0,41.0,4.0,4.0,0.0,0.67,0.67,267
khamzat chimaev,"Jul. 15, 2020",74.0,183.0,75.0,40.0,4.0,2.0,5.29,1.83,0.41,491
khaos williams,"Feb. 8, 2020",72.0,170.0,77.0,41.0,5.0,5.0,0.0,0.0,0.76,591
khusein askhabov,"Jul. 16, 2022",68.0,146.0,69.0,39.0,2.0,4.0,0.0,0.0,0.0,900
kiefer crosbie,"Sep. 10, 2023",71.0,170.5,70.0,39.0,7.0,6.0,0.69,0.34,0.0,654
kiichi kunimoto,"Jan. 4, 2014",69.0,170.0,71.0,41.0,2.0,4.0,1.59,0.32,0.0,566
kimbo slice,"Dec. 5, 2009",74.0,225.0,77.3,42.5,2.0,3.0,3.1,1.16,1.55,377
kimo leopoldo,"Sep. 9, 1994",73.0,244.0,75.9,41.8,1.0,2.0,4.55,2.27,0.0,128
king green,"May. 20, 2012",70.0,170.8,71.0,40.0,6.0,4.0,1.22,0.29,0.29,651
kit cope,"Nov. 5, 2005",72.0,170.0,73.2,42.1,1.0,2.0,0.0,3.53,0.0,370
kitt campbell,"May. 23, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
klaudia syguła,"Nov. 9, 2024",68.0,135.0,69.0,38.0,5.0,5.0,0.7,0.0,0.0,640
kleydson rodrigues,"May. 7, 2022",65.0,135.5,67.0,37.0,5.0,2.0,0.6,0.6,0.3,603
klidson abreu,"Feb. 23, 2019",74.0,206.0,74.0,40.0,2.0,3.0,0.64,0.0,0.0,703
kody steele,"Feb. 8, 2025",69.0,156.0,71.0,39.0,4.0,7.0,0.62,0.0,0.62,724
koji kitao,"May. 17, 1996",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
koji oishi,"Apr. 14, 2000",68.0,162.0,70.4,39.1,1.0,18.0,0.0,0.0,0.0,84
kolton englund,"Sep. 27, 2025",68.8,155.5,70.6,40.7,2.0,12.0,0.0,0.0,0.0,130
konstantin erokhin,"Jan. 24, 2015",70.0,230.0,73.0,41.0,1.0,2.0,0.0,0.0,0.0,900
korey kuppe,"Sep. 27, 2025",71.4,170.0,71.8,41.1,1.0,1.0,0.0,1.0,0.0,900
koya kanda,"Sep. 27, 2025",67.6,153.5,71.7,41.6,4.0,3.0,2.0,0.0,0.0,900
koyomi matsushima,"Jun. 9, 2022",68.4,145.5,69.7,38.7,3.0,3.0,9.0,0.0,0.5,900
kris mccray,"Jun. 19, 2010",72.0,170.0,73.2,42.1,3.0,3.0,2.88,0.0,0.0,521
kris moutinho,"Jul. 10, 2021",67.0,136.0,68.0,38.0,5.0,15.0,0.0,0.0,0.0,386
kristian rothaermel,"Jun. 28, 2006",72.0,205.0,74.8,41.5,1.0,2.0,0.0,0.0,0.0,241
kron gracie,"Feb. 17, 2019",69.0,144.5,70.0,39.0,3.0,6.0,0.35,0.7,0.0,641
krzysztof jotko,"Dec. 7, 2013",73.0,185.5,77.0,41.0,3.0,2.0,1.33,0.07,0.14,759
krzysztof soszynski,"Dec. 13, 2008",73.0,206.0,74.3,42.2,3.0,3.0,0.52,1.04,0.17,433
kuniyoshi hironaka,"Oct. 14, 2006",70.0,170.0,71.2,39.5,1.0,5.0,2.6,0.97,0.32,693
kurt holobaugh,"Jan. 13, 2013",71.0,156.0,70.0,39.0,5.0,4.0,0.65,0.78,0.26,632
kurt pellegrino,"Jul. 8, 2006",68.0,156.0,70.5,39.1,2.0,2.0,2.9,0.85,0.36,641
kwan ho kwak,"Nov. 19, 2016",67.0,136.0,70.0,39.0,3.0,3.0,0.78,0.0,0.0,575
kyeongpyo kim,"Jun. 10, 2022",69.4,155.0,71.7,40.3,7.0,6.0,3.87,0.0,0.97,465
kyle bochniak,"Jan. 18, 2016",67.0,145.0,70.0,38.5,3.0,5.0,1.14,0.0,0.14,900
kyle bradley,"Feb. 2, 2008",69.0,155.0,71.1,39.9,2.0,3.0,0.65,0.0,0.0,348
kyle daukaus,"Jun. 27, 2020",75.0,185.0,76.0,43.0,3.0,3.0,2.11,1.91,0.19,523
kyle driscoll,"Sep. 27, 2025",68.0,146.0,70.8,38.8,3.0,3.0,2.0,0.0,0.0,900
kyle jensen,"Sep. 27, 2025",70.0,170.0,71.2,39.5,0.0,1.0,6.92,6.92,0.0,130
kyle kingsbury,"Dec. 13, 2008",76.0,204.5,76.0,43.3,3.0,4.0,2.64,0.0,0.15,682
kyle nelson,"Dec. 8, 2018",71.0,148.5,71.0,41.0,4.0,5.0,1.06,0.6,0.0,596
kyle noblitt,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kyle noke,"Jun. 19, 2010",74.0,170.0,76.0,44.0,3.0,2.0,1.53,0.76,0.38,543
kyle prepolec,"Sep. 27, 2025",70.0,156.0,70.0,39.0,3.0,5.0,0.0,0.0,0.0,752
kyle reyes,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
kyle stewart,"Jan. 19, 2019",72.0,170.5,76.5,42.0,1.0,2.0,1.32,0.0,0.0,455
kyle watson,"Dec. 5, 2010",72.0,155.0,72.6,41.1,4.0,3.0,0.0,0.0,0.0,794
kyler phillips,"Aug. 1, 2017",68.0,135.0,72.0,38.0,5.0,4.0,2.31,0.37,0.37,740
kyoji horiguchi,"Oct. 20, 2013",64.0,125.0,66.0,37.0,4.0,2.0,2.0,0.0,0.53,845
kyron bowen,"Sep. 27, 2025",71.2,180.5,72.7,40.0,3.0,2.0,0.0,0.0,0.0,88
kyung ho kang,"Mar. 2, 2013",69.0,136.0,73.0,39.0,3.0,3.0,1.97,0.77,0.34,751
lance benoist,"Sep. 17, 2011",71.0,169.0,72.0,40.2,4.0,3.0,1.5,0.0,0.25,900
lance lawrence,"Sep. 27, 2025",72.0,145.0,72.5,41.8,6.0,10.0,1.0,0.0,0.0,900
lando vannata,"Jul. 14, 2016",69.0,156.0,71.0,39.0,5.0,5.0,1.09,0.3,0.5,699
landon quinones,"Sep. 10, 2023",69.0,155.5,70.0,40.0,7.0,8.0,0.5,0.0,0.0,900
lara procopio,"Aug. 31, 2019",64.0,126.0,67.5,37.0,6.0,7.0,3.15,0.35,0.0,858
larissa pacheco,"Sep. 13, 2014",64.0,136.0,69.0,38.1,1.0,4.0,0.0,0.0,0.0,348
larry cureton,"Apr. 7, 1995",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
laureano staropoli,"Nov. 17, 2018",73.0,185.5,71.5,40.5,3.0,4.0,0.83,0.0,0.0,900
lauren mueller,"Aug. 29, 2017",65.0,125.5,67.0,38.0,4.0,4.0,0.7,0.0,0.0,768
lauren murphy,"Aug. 16, 2014",65.0,125.0,67.0,38.0,4.0,5.0,1.09,0.21,0.07,877
lavar johnson,"Jan. 28, 2012",76.0,255.0,79.2,43.8,5.0,3.0,0.61,0.61,0.92,326
laverne clark,"Mar. 13, 1998",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
lazar stojadinovic,"Jul. 18, 2017",67.0,145.5,68.0,40.0,2.0,2.0,0.0,0.0,0.0,395
leah letson,"Sep. 27, 2025",67.0,145.0,71.0,39.0,3.0,4.0,0.51,0.0,0.0,883
leandro issa,"Jan. 4, 2014",68.0,134.0,69.0,39.0,2.0,3.0,2.38,1.19,0.0,756
leandro silva,"Jun. 8, 2013",69.0,156.0,72.0,42.0,2.0,2.0,1.76,0.44,0.0,765
lee murray,"Jan. 31, 2004",75.0,183.0,76.6,41.7,0.0,3.0,0.9,1.79,0.0,503
leigh remedios,"Jul. 13, 2002",67.0,154.0,71.0,38.1,1.0,1.0,0.0,0.0,0.0,398
leo kuntz,"Sep. 27, 2025",70.0,156.0,74.0,41.0,2.0,4.0,1.99,0.66,0.0,679
leon aliu,"Sep. 27, 2025",71.4,186.0,77.3,42.0,6.0,10.0,0.0,0.0,0.0,95
leon edwards,"Nov. 9, 2014",72.0,171.0,74.0,43.0,3.0,2.0,1.18,0.36,0.23,1039
leon shahbazyan,"Sep. 27, 2025",76.0,171.0,77.0,44.5,6.0,8.0,1.46,0.0,1.46,616
leonard garcia,"Apr. 7, 2007",69.2,145.0,70.5,39.5,3.0,5.0,0.3,0.53,0.3,702
leonardo augusto leleco,"Feb. 22, 2016",72.0,186.0,73.0,41.0,2.0,3.0,0.0,1.01,0.0,893
leonardo damiani,"Sep. 27, 2025",70.0,171.0,69.0,38.0,2.0,4.0,0.0,0.0,0.0,144
leonardo de oliveira,"Sep. 27, 2025",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,1.0,1.0,24.11,0.0,0.0,112
leonardo mafra,"Jun. 24, 2012",70.0,155.0,70.0,39.6,5.0,4.0,2.12,0.42,0.0,531
leonardo morales,"Nov. 15, 2014",68.0,137.0,68.0,39.1,2.0,2.0,0.0,0.0,0.0,527
leonardo santos,"Jun. 8, 2013",72.0,156.0,75.0,42.0,3.0,3.0,0.88,0.25,0.38,650
lerone murphy,"Sep. 7, 2019",69.0,146.0,73.5,39.0,4.0,3.0,1.41,0.54,0.33,827
lerryan douglas,"Sep. 27, 2025",69.2,145.0,70.5,39.5,12.0,5.0,0.0,0.0,50.0,36
leslie smith,"Sep. 27, 2025",69.0,135.4,66.0,39.0,8.0,8.0,0.0,0.0,0.48,541
levan makashvili,"May. 16, 2015",68.0,145.0,68.0,39.0,3.0,2.0,3.67,0.0,0.0,900
lewis gonzalez,"Sep. 27, 2025",70.0,174.0,73.8,39.9,1.0,2.0,2.0,0.0,0.0,900
li jingliang,"May. 24, 2014",72.0,171.0,71.5,40.5,4.0,4.0,1.19,0.0,0.79,632
li kaiwen,"Feb. 3, 2024",69.6,156.4,72.4,39.9,4.0,4.0,0.54,0.0,1.09,511
liana jojua,"Sep. 7, 2019",64.0,128.5,62.0,37.5,2.0,5.0,1.71,1.28,0.0,527
liang na,"Apr. 24, 2021",65.0,126.0,67.0,38.0,2.0,4.0,3.6,0.51,0.0,437
liliya shakirova,"Oct. 24, 2020",65.0,126.0,68.9,36.8,3.0,3.0,0.0,0.0,0.0,511
lina lansberg,"Sep. 25, 2016",67.0,135.5,65.5,39.5,3.0,4.0,0.52,0.1,0.21,790
lisa ellis,"Dec. 12, 2014",64.0,115.0,62.0,35.9,2.0,2.0,4.19,0.6,0.0,501
liudvik sholinian,"Sep. 4, 2021",70.0,135.5,71.0,38.0,3.0,6.0,0.0,0.0,0.0,900
livinha souza,"Sep. 22, 2018",65.0,115.0,63.0,36.0,2.0,4.0,2.54,1.38,0.0,650
liz carmouche,"Feb. 23, 2013",66.0,125.0,66.0,37.0,3.0,3.0,2.57,0.31,0.0,826
lodune sincaid,"Apr. 9, 2005",68.0,184.0,71.6,39.1,3.0,6.0,0.0,0.0,0.0,272
logan clark,"Dec. 13, 2006",74.0,186.0,78.2,42.3,2.0,1.0,0.31,2.14,0.0,735
logan greenhalgh,"Jun. 28, 2024",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
logan urban,"Sep. 27, 2025",72.0,170.0,72.0,40.0,3.0,17.0,0.0,0.0,0.0,47
loik radzhabov,"Mar. 4, 2023",71.0,169.3,69.0,39.0,3.0,4.0,4.65,0.0,0.31,726
loma lookboonmee,"Oct. 26, 2019",61.0,115.0,61.5,34.0,4.0,2.0,2.03,0.12,0.0,838
loneer kavanagh,"Nov. 23, 2024",66.0,126.0,67.0,36.5,4.0,4.0,1.79,0.36,0.36,630
loopy godinez,"Apr. 17, 2021",62.0,115.0,61.0,35.0,5.0,4.0,2.96,0.86,0.08,827
lorenz larkin,"Jan. 8, 2012",71.0,170.8,72.0,41.0,4.0,3.0,0.27,0.09,0.54,672
lorenzo hood,"Sep. 27, 2025",75.0,257.5,80.0,45.0,3.0,5.0,0.0,0.0,0.0,296
losene keita,"Sep. 6, 2025",69.0,149.0,69.5,39.1,0.0,0.0,0.0,0.0,0.0,0
louie sutherland,"Sep. 27, 2025",75.0,205.6,76.8,44.2,0.0,0.0,0.0,0.0,0.0,0
louis cosce,"Nov. 21, 2020",69.0,170.5,71.0,38.0,4.0,5.0,1.04,0.52,1.04,580
louis gaudinot,"Dec. 4, 2011",63.0,125.0,63.0,37.8,2.0,6.0,0.57,1.13,0.0,637
louis lee scott,"Sep. 27, 2025",68.0,136.5,68.9,39.2,5.0,1.0,2.43,0.0,0.0,740
louis smolka,"Jan. 15, 2014",69.0,136.0,68.5,37.5,5.0,4.0,1.69,1.78,0.19,564
lowell anderson,"Sep. 24, 1999",70.14054054054054,166.5054467782129,71.58709175738724,39.90212765957447,0.0,0.0,0.0,0.0,0.0,0
lu kai,"Jun. 10, 2022",68.0,146.0,70.8,38.8,4.0,6.0,2.62,2.62,0.0,229
lu zhengyong,"Sep. 27, 2025",65.8,125.5,68.4,37.0,0.0,0.0,0.0,0.0,0.0,0
luan chagas,"May. 15, 2016",72.0,170.0,75.0,41.0,4.0,3.0,0.32,0.32,1.29,696
luan lacerda,"Jan. 21, 2023",67.0,136.0,71.5,38.5,5.0,7.0,1.26,0.63,0.0,717
luana carolina,"May. 11, 2019",66.0,146.7,69.0,38.5,5.0,4.0,0.34,0.56,0.11,799
luana pinheiro,"Mar. 27, 2021",62.5,115.5,62.5,38.0,3.0,4.0,2.33,0.17,0.33,676
luana santos,"Aug. 12, 2023",66.0,136.0,67.0,39.0,4.0,3.0,1.91,1.27,0.0,565
lucas alexander,"Oct. 15, 2022",71.0,148.5,73.0,41.0,5.0,3.0,0.0,0.0,0.54,419
lucas almeida,"Jun. 4, 2022",71.0,148.0,71.0,41.0,5.0,5.0,0.0,0.0,0.68,663
lucas fernando,"Sep. 27, 2025",75.0,228.6,80.0,41.5,2.0,5.0,3.0,1.0,0.0,900
lucas martins,"Jan. 20, 2013",72.0,145.0,72.0,41.6,3.0,4.0,0.0,0.49,0.73,528
lucas rocha,"Apr. 6, 2024",63.0,125.5,64.0,35.0,2.0,4.0,0.0,0.0,1.2,375
lucie pudilova,"Mar. 18, 2017",68.0,136.7,67.5,42.0,4.0,4.0,0.7,0.6,0.2,820
lucio linhares,"Dec. 12, 2009",74.0,184.0,76.6,41.6,1.0,3.0,1.86,1.86,0.0,484
lucrezia ria,"Sep. 27, 2025",66.0,124.5,66.8,39.4,4.0,4.0,1.0,0.0,0.0,900
ludovit klein,"Sep. 26, 2020",67.0,156.0,72.5,41.0,4.0,3.0,1.52,0.0,0.54,754
luigi fioravanti,"Apr. 6, 2006",68.0,171.0,71.6,38.7,2.0,2.0,3.76,0.94,0.31,639
luigi vendramini,"Sep. 23, 2018",68.0,155.5,73.0,38.0,3.0,4.0,1.11,0.56,0.56,404
luis gomez,"Jul. 25, 2017",67.4,145.5,68.0,38.0,2.0,4.0,4.48,0.0,0.0,803
luis gurule,"Apr. 5, 2025",65.0,125.0,64.0,38.0,5.0,5.0,0.41,0.0,0.0,738
luis henrique,"Jul. 24, 2016",74.0,204.8,74.0,42.5,2.0,2.0,3.09,1.03,0.0,728
luis pajuelo,"Mar. 23, 2024",70.0,145.0,69.5,39.5,6.0,8.0,0.0,0.0,0.0,194
luis pena,"Jul. 6, 2018",75.0,155.0,76.0,42.5,4.0,3.0,1.17,1.17,0.15,770
luis ramos,"Aug. 27, 2011",68.0,170.0,71.2,38.9,2.0,6.0,1.5,0.0,0.0,300
luis saldana,"Apr. 10, 2021",71.0,145.5,73.0,40.0,5.0,4.0,0.64,0.21,0.64,849
luiz cane,"Dec. 29, 2007",74.0,184.0,77.0,42.7,5.0,5.0,0.56,0.28,1.67,359
luiz dutra,"Jan. 4, 2014",71.0,170.0,73.6,40.5,4.0,5.0,0.0,0.0,0.0,238
