fight_time_avg_diff,days_since_debut_diff,knockdown_avg_diff,win_pct_before_diff,days_since_last_win_diff,takedowns_avg_diff,sig_strikes_landed_per_minute_diff,losses_before_diff,avg_ground_strikes_diff,avg_ground_attempts_diff,avg_body_attempts_diff,takedowns_ema_diff,takedowns_success_rate_roll_5_diff,avg_sub_attempts_diff,avg_takedown_attempts_diff,avg_clinch_attempts_diff,avg_rounds_diff,control_time_roll_5_diff,avg_clinch_strikes_diff,avg_takedowns_diff,submission_avg_diff,avg_time_diff,avg_body_strikes_diff,reach_diff,takedown_attempts_ema_diff,avg_head_strikes_diff,takedown_attempts_roll_5_diff,total_strikes_ema_diff,avg_knockdowns_diff,total_strikes_roll_5_diff,avg_leg_strikes_diff,knockdowns_ema_diff,avg_leg_attempts_diff,weight_diff,avg_total_strikes_diff,sig_strikes_roll_5_diff,head_strikes_ema_diff,avg_head_attempts_diff,avg_distance_diff,leg_reach_diff,takedowns_roll_5_diff,head_attempts_ema_diff,avg_total_strikes_attempts_diff,avg_distance_attempts_diff,total_fights_before_diff,avg_sig_attempts_diff,total_strikes_attempts_ema_diff,sig_strikes_ema_diff,total_strikes_attempts_roll_5_diff,sig_attempts_roll_5_diff,avg_sig_strikes_diff,sig_attempts_ema_diff,sig_strikes_absorbed_per_minute_diff,wins_before_diff,knockdowns_roll_5_diff,height_diff,win_streak_diff,wins_last_365_days_diff,fights_last_365_days_diff,wins_last_3_diff,lose_streak_diff,winner
0.0,-210,0.0,-0.178,99.0,0.0,0.0,0,-8.244444444444445,-10.8,-1.5555555555555558,-0.1412946999999999,-0.0999999994999999,0.1555555555555555,-1.0444444444444445,1.911111111111111,-0.1111111111111111,0.0,1.022222222222222,-0.4888888888888888,0.0,-118.17777777777778,-1.533333333333333,0.0,-0.6041788000000001,-4.688888888888889,-0.6,-91.83465183,0.2,-76.60000000000001,0.1111111111111111,0.1028999999999999,1.1111111111111112,0.0,-38.08888888888889,-13.8,-11.460497159999996,-7.022222222222222,1.1111111111111112,0.0,-0.1999999999999999,-25.44675803,-44.95555555555556,1.4222222222222216,-4,-7.466666666666669,-114.41465946999998,-16.07652716,-92.2,-21.000000000000004,-6.111111111111111,-29.29901803,0.0,-4,0.2,0.0,-1,-2,-1,0,0,1
333.0,98,0.31,0.1999999999999999,-62.0,0.94,1.0,-2,-6.25,-8.55,-0.7999999999999998,0.07819371,0.124999998875,0.65,-0.1499999999999999,0.1999999999999999,-0.1,0.0,0.3,-0.15,2.52,-69.85000000000002,-0.6000000000000001,4.375816993464056,0.30717484,-5.35,0.25,-71.146056281,0.0,-84.7,-0.55,0.0,-0.55,37.41421015514808,-42.6,-14.9,-8.725358011999996,-11.6,-0.55,1.999121265377859,0.15,-20.926070621,-55.6,-4.6,-6,-12.95,-91.65545162899998,-11.545679011999995,-107.7,-27.85,-6.5,-23.943812621,4.0,-4,0.0,2.8526633925198297,1,-1,-2,0,0,1
-567.0,161,-0.45,-0.1659999999999999,56.0,-0.91,-3.0,0,-8.933333333333334,-9.466666666666669,-5.066666666666667,-0.7500999999999999,-0.5999999940000001,0.0,-0.6,-6.466666666666667,0.0,0.0,-4.6,-0.6,-0.68,-137.73333333333335,-5.2,-5.375816993464056,-0.7500999999999999,-8.266666666666666,-0.6,-31.71119999999999,-0.2,-27.6,0.0666666666666666,-0.147,0.0666666666666666,-43.41421015514808,-27.6,-13.4,-8.137599999999999,-13.466666666666669,0.1333333333333333,-1.999121265377859,-0.6,-13.561099999999996,-31.53333333333334,-2.533333333333333,-3,-18.46666666666667,-36.657700000000006,-13.746299999999998,-31.53333333333334,-18.46666666666667,-13.4,-18.8898,-4.0,-3,-0.2,-2.8526633925198297,-3,-2,-2,-1,0,1
-420.0,0,0.0,-0.3329999999999999,-70.0,-3.89,-2.0,1,-19.333333333333336,-29.666666666666668,-0.666666666666667,-1.2099999999999995,-0.2000000012666665,-0.3333333333333333,-2.0,-4.333333333333334,0.0,0.0,-3.666666666666667,-1.3333333333333337,-0.78,-275.6666666666667,-1.3333333333333333,-5.475816993464051,-1.91,-23.666666666666668,-2.0,-27.53000000000001,0.0,-35.33333333333333,0.6666666666666666,0.0,1.0,-38.41421015514808,-35.33333333333333,-24.333333333333336,-21.630000000000003,-34.666666666666664,-1.3333333333333333,-1.3991212653778575,-1.3333333333333337,-28.89,-49.0,-0.333333333333333,0,-34.333333333333336,-35.99,-21.68,-49.0,-34.333333333333336,-24.333333333333336,-27.47,-3.0,-1,0.0,-2.8526633925198297,-1,-1,0,-1,0,1
-482.0,0,-0.24,-0.056,126.0,-1.7599999999999998,-2.2,-3,0.7777777777777777,-1.1111111111111107,1.7222222222222223,-0.3414809999999998,-0.0333333338888888,-0.3333333333333333,0.1111111111111111,4.222222222222222,-0.1111111111111111,0.0,-1.2222222222222223,-0.1666666666666666,-1.0219999999999998,-183.44444444444449,0.3333333333333333,-1.7406535947712456,0.0764890000000003,-2.166666666666666,-0.1999999999999999,-0.1831909999999972,-0.3333333333333333,0.8000000000000007,0.5,-0.2352979999999999,1.5,-21.331368124118484,3.333333333333332,-1.0,-0.6871960000000001,-2.222222222222221,-0.8888888888888888,-0.9792970123022896,-0.3,4.356072000000001,5.666666666666671,-2.1111111111111107,-7,1.0,7.372156999999998,-1.0196469999999955,1.0,-0.1999999999999993,-1.333333333333334,6.723620999999998,-2.4,-4,0.0,-0.8821307140158581,0,-1,-4,-1,0,1
-567.0,161,-0.45,-0.389,56.0,-0.91,-3.0,1,-10.214285714285714,-10.714285714285714,-6.214285714285714,-0.577549,-0.5999999940000001,0.0,-0.8571428571428571,-4.357142857142857,0.0,0.0,-3.0357142857142856,-0.5714285714285714,-0.68,-128.5,-6.178571428571429,-5.375816993464056,-1.177549,-6.892857142857142,-1.0,-51.021588,-0.1428571428571428,-54.45,0.0714285714285715,-0.0720299999999999,0.0714285714285715,-43.41421015514808,-42.392857142857146,-15.6,-5.394423999999999,-11.285714285714286,0.25,-1.999121265377859,-0.6,-9.419638999999997,-46.07142857142857,-2.357142857142857,-5,-17.428571428571427,-55.09147299999999,-11.666786999999998,-58.1,-19.6,-13.0,-15.661902,-4.0,-6,-0.2,-2.8526633925198297,0,-7,-7,-1,0,1
-333.0,-672,-0.31,-0.3,-217.0,-0.94,-1.0,1,-1.85,-0.8500000000000001,-1.4500000000000002,-0.1959999999999999,-0.1249999986249999,-0.75,-0.4499999999999999,3.5,-0.3999999999999999,0.0,2.0,-0.0999999999999999,-2.52,-80.69999999999999,-1.75,-4.375816993464056,-0.7361,-0.2000000000000001,-0.4499999999999999,-9.956100000000006,0.0,-6.399999999999999,1.05,0.0,1.3,-37.41421015514808,-6.399999999999999,-0.9000000000000004,-0.5425999999999997,-9.85,-1.05,-1.999121265377859,-0.0999999999999999,-15.6915,-15.6,-12.65,-1,-10.0,-24.2377,-1.2505999999999995,-15.6,-10.0,-0.9000000000000004,-15.6705,-4.0,-2,0.0,-2.8526633925198297,0,1,2,0,0,1
-128.0,-308,0.0,0.571,-9704.0,-4.55,-1.0,1,-2.142857142857143,-3.642857142857143,-0.6428571428571429,-0.48097,-0.099999999,0.4285714285714285,-0.2142857142857143,1.9285714285714284,0.0,0.0,0.2142857142857142,-0.2142857142857143,-2.27,-20.71428571428572,-0.9285714285714286,-4.975816993464051,-0.48097,0.0,-0.0999999999999999,11.66436,0.1428571428571428,13.7,0.9285714285714286,0.0504209999999999,1.7857142857142856,-77.41421015514808,11.642857142857142,0.2000000000000001,-0.1062929999999999,6.142857142857142,1.9285714285714284,-1.999121265377859,-0.0999999999999999,8.034837999999999,20.571428571428573,9.0,5,7.2857142857142865,22.219333,-0.2079230000000009,23.8,8.2,0.0,9.045649999999998,-2.0,4,0.0,-2.8526633925198297,1,1,1,1,-2,1
-281.0,0,0.35,-0.357,148.0,-0.51,-1.0,2,-7.041666666666667,-7.583333333333334,-5.208333333333333,-0.0612843,-0.3333333295555556,0.0416666666666666,0.0833333333333333,-3.083333333333333,0.0,0.0,-2.0416666666666665,0.0,0.12,-12.166666666666686,-5.291666666666667,-5.375816993464056,-0.2754843,-4.125,-0.1999999999999999,-37.06564159999999,-0.125,-59.39999999999999,-0.0416666666666666,-0.0504209999999999,-0.0416666666666666,-43.41421015514808,-40.833333333333336,-14.2,-1.6095467999999995,-6.458333333333333,-0.375,-1.999121265377859,-0.1999999999999999,-2.660107299999998,-44.5,-1.041666666666667,-1,-11.708333333333332,-39.0979711,-5.747400899999995,-63.2,-16.0,-9.458333333333334,-6.614091399999998,-2.0,-3,0.0,-2.8526633925198297,-1,-3,-1,-1,1,1
-567.0,217,-0.45,-0.25,0.0,-0.91,-3.0,2,-4.190476190476191,-2.5396825396825395,-5.253968253968254,0.3313266799999998,0.199999998,0.3174603174603174,0.3333333333333333,-2.253968253968253,0.1428571428571428,0.0,-1.6825396825396823,0.2698412698412699,-0.68,40.71428571428572,-4.80952380952381,-4.640653594771237,0.38552138,1.8412698412698416,0.1999999999999999,-25.939084529999995,0.1746031746031746,-41.0,-0.3333333333333333,0.38000132,-0.3333333333333333,-35.73136812411846,-27.6031746031746,-2.4000000000000004,1.60955828,6.936507936507935,2.571428571428572,-1.6192970123022832,0.1999999999999999,4.00291161,-23.6984126984127,6.142857142857142,0,1.3492063492063515,-25.3118187,-3.0779685999999984,-38.8,1.1999999999999993,-3.3015873015873023,-1.4379362700000051,-4.0,-2,0.2,-2.4821307140158666,1,-5,-4,0,0,1
