event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue
1995-04-07,UFC 5: The Return of the Beast,jon hess,andy anderson,1,83,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,28,2,17,2,41,6,30,6,0,0,0,0,0,2,0,0,7,2,17,2,10,0,11,0,0,0,0,0,6,0,14,0,6,0,9,0,5,2,5,2
1995-04-07,UFC 5: The Return of the Beast,todd medina,larry cureton,1,175,Open Weight,Submission,1,Southpaw,Orthodox,0,0,4,2,4,1,66,16,64,15,1,0,1,0,1,0,0,0,3,0,3,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,4,0,4,0
1995-07-14,UFC 6: Clash of the Titans,david abbott,john matua,1,20,Open Weight,KO/TKO,1,Switch,Orthodox,2,0,12,0,7,0,12,0,7,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,0,1,0,5,0
1995-07-14,UFC 6: Clash of the Titans,paul varelans,cal worsham,1,62,Open Weight,KO/TKO,1,Orthodox,Orthodox,1,0,22,33,8,9,27,35,12,11,0,0,0,0,0,1,0,0,7,9,19,30,1,0,2,3,0,0,1,0,3,5,12,13,5,4,10,20,0,0,0,0
1995-07-14,UFC 6: Clash of the Titans,ken shamrock,dan severn,1,134,UFC Superfight Championship,Submission,1,Orthodox,Southpaw,0,0,5,2,2,2,5,2,2,2,2,0,0,0,1,1,0,0,1,1,4,1,1,0,1,0,0,1,0,1,1,1,4,1,1,1,1,1,0,0,0,0
1995-07-14,UFC 6: Clash of the Titans,oleg taktarov,anthony macias,1,9,Open Weight,Submission,1,Orthodox,Switch,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-07-14,UFC 6: Clash of the Titans,oleg taktarov,david abbott,1,1065,UFC 6 Tournament Title,Submission,1,Orthodox,Switch,0,0,10,45,4,17,59,71,48,39,4,1,0,2,3,3,0,0,4,16,10,44,0,1,0,1,0,0,0,0,3,8,9,27,1,3,1,7,0,6,0,11
1995-07-14,UFC 6: Clash of the Titans,oleg taktarov,dave beneteau,1,57,Open Weight,Submission,1,Orthodox,Orthodox,0,0,2,14,0,5,7,14,5,5,1,0,0,1,1,1,0,0,0,5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,11,0,1,0,3
1995-07-14,UFC 6: Clash of the Titans,david abbott,paul varelans,1,113,Open Weight,KO/TKO,1,Switch,Orthodox,0,0,21,2,14,1,25,14,18,12,0,0,1,0,1,0,0,0,13,0,20,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,13,0,20,0
1995-07-14,UFC 6: Clash of the Titans,patrick smith,rudyard moncayo,1,68,Open Weight,Submission,1,Orthodox,Orthodox,1,0,8,0,6,0,13,2,10,2,1,0,2,0,2,1,0,0,2,0,4,0,4,0,4,0,0,0,0,0,1,0,1,0,3,0,3,0,2,0,4,0
1995-09-08,UFC 7: The Brawl in Buffalo,paul varelans,mark hall,1,61,Open Weight,Submission,1,Orthodox,Orthodox,0,0,3,3,2,2,6,5,4,4,2,0,1,0,1,0,0,0,2,1,3,1,0,0,0,1,0,1,0,1,0,2,1,2,0,0,0,1,2,0,2,0
1995-09-08,UFC 7: The Brawl in Buffalo,marco ruas,paul varelans,1,797,UFC 7 Tournament Title,KO/TKO,1,Orthodox,Orthodox,1,0,59,30,33,10,84,63,54,36,0,1,0,0,0,0,0,0,9,3,25,19,0,2,0,2,24,5,34,9,27,7,49,27,2,3,3,3,4,0,7,0
1995-09-08,UFC 7: The Brawl in Buffalo,scott bessac,david hood,1,31,Open Weight,Submission,1,Orthodox,Orthodox,0,0,5,3,1,2,5,3,1,2,2,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,2,0,3,0,1,4,2,1,1,1,1,0,0,0,0
1995-09-08,UFC 7: The Brawl in Buffalo,mark hall,harold howard,1,101,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,4,5,1,4,23,8,13,5,0,0,0,1,0,2,0,0,1,1,4,1,0,3,0,4,0,0,0,0,0,2,1,2,0,2,0,3,1,0,3,0
1995-09-08,UFC 7: The Brawl in Buffalo,paul varelans,gerry harris,1,65,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,4,2,4,0,38,2,35,0,0,0,1,0,1,0,0,0,4,0,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,4,0
1995-09-08,UFC 7: The Brawl in Buffalo,remco pardoel,ryan parker,1,185,Open Weight,Submission,1,Southpaw,Southpaw,0,0,0,0,0,0,16,21,16,20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-09-08,UFC 7: The Brawl in Buffalo,marco ruas,larry cureton,1,203,Open Weight,Submission,1,Orthodox,Orthodox,0,0,1,7,1,6,2,14,2,11,3,1,1,0,1,0,0,0,1,2,1,3,0,4,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,7
1995-09-08,UFC 7: The Brawl in Buffalo,marco ruas,remco pardoel,1,747,Open Weight,Submission,1,Orthodox,Southpaw,0,0,7,4,4,2,18,7,11,4,2,2,0,1,0,1,0,0,1,0,2,1,2,0,2,0,1,2,3,3,1,0,3,2,0,2,0,2,3,0,4,0
1995-12-16,UFC - Ultimate Ultimate '95,oleg taktarov,marco ruas,1,1080,Open Weight,Decision - Unanimous,1,Orthodox,Orthodox,0,0,33,53,6,14,37,68,10,29,1,0,0,0,3,0,0,0,2,3,19,31,0,0,1,0,4,11,13,22,6,14,33,52,0,0,0,0,0,0,0,1
1995-12-16,UFC - Ultimate Ultimate '95,dan severn,oleg taktarov,2,180,Ultimate Ultimate '95 Tournament Title,Decision - Unanimous,1,Southpaw,Orthodox,0,0,79,29,24,8,277,47,198,26,0,1,0,0,0,1,0,0,18,4,73,23,5,1,5,3,1,3,1,3,7,8,60,29,0,0,0,0,17,0,19,0
1995-12-16,UFC - Ultimate Ultimate '95,oleg taktarov,dave beneteau,1,75,Open Weight,Submission,1,Orthodox,Orthodox,0,0,1,5,0,2,1,5,0,2,2,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,0,1,0,2
1995-12-16,UFC - Ultimate Ultimate '95,marco ruas,keith hackney,1,159,Open Weight,Submission,1,Orthodox,Sideways,0,0,10,4,7,1,15,4,11,1,1,0,1,0,2,0,0,0,5,0,8,2,0,0,0,0,2,1,2,2,2,1,3,4,0,0,0,0,5,0,7,0
1995-12-16,UFC - Ultimate Ultimate '95,david abbott,steve jennum,1,74,Open Weight,Submission,1,Switch,Orthodox,0,0,1,1,1,0,5,2,3,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1995-12-16,UFC - Ultimate Ultimate '95,dan severn,david abbott,1,1080,Open Weight,Decision - Unanimous,1,Southpaw,Switch,0,0,65,6,57,3,253,16,233,11,0,0,1,0,2,0,0,0,36,3,43,6,16,0,17,0,5,0,5,0,0,0,0,2,5,2,5,3,52,1,60,1
1995-12-16,UFC - Ultimate Ultimate '95,dan severn,paul varelans,1,61,Open Weight,Submission,1,Southpaw,Orthodox,0,0,0,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1996-02-16,UFC 8: David vs Goliath,don frye,thomas ramirez,1,8,Open Weight,KO/TKO,1,Orthodox,Sideways,1,0,4,2,3,1,4,2,3,1,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,1,0,1,0
1996-02-16,UFC 8: David vs Goliath,paul varelans,joe moreira,1,600,Open Weight,Decision - Unanimous,1,Orthodox,Southpaw,0,0,38,28,9,12,51,28,20,12,0,0,0,0,0,3,0,0,5,5,32,14,0,2,1,2,4,5,5,12,6,9,28,17,3,3,10,11,0,0,0,0
1996-02-16,UFC 8: David vs Goliath,jerry bohlander,scott ferrozzo,1,543,Open Weight,Submission,1,Orthodox,Orthodox,0,0,9,12,7,9,33,20,27,17,1,1,0,2,0,4,0,0,3,6,3,8,2,2,2,2,2,1,4,2,4,1,6,2,2,4,2,6,1,4,1,4
1996-02-16,UFC 8: David vs Goliath,gary goodridge,paul herrera,1,13,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,8,0,8,0,8,0,8,0,0,0,1,0,1,1,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0
1996-02-16,UFC 8: David vs Goliath,ken shamrock,kimo leopoldo,1,264,UFC Superfight Championship,Submission,1,Orthodox,Orthodox,0,0,1,5,0,4,14,6,13,5,2,0,1,0,1,0,0,0,0,3,1,4,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,4
1996-02-16,UFC 8: David vs Goliath,gary goodridge,jerry bohlander,1,331,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,6,8,3,1,10,28,7,18,1,0,1,0,1,1,0,0,3,1,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,5,8
1996-02-16,UFC 8: David vs Goliath,don frye,sam adkins,1,48,Open Weight,TKO - Doctor's Stoppage,1,Orthodox,Orthodox,0,0,9,3,5,0,24,4,19,1,0,0,1,0,1,0,0,0,5,0,9,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,6,0
1996-02-16,UFC 8: David vs Goliath,don frye,gary goodridge,1,134,UFC 8 Tournament Title,KO/TKO,1,Orthodox,Orthodox,0,0,21,6,12,2,37,6,27,2,0,0,0,1,0,3,0,0,9,1,18,4,0,1,0,2,3,0,3,0,2,0,6,3,7,2,11,3,3,0,4,0
1996-05-17,UFC 9: Motor City Madness,steve nelmark,tai bowden,1,445,Open Weight,TKO - Doctor's Stoppage,1,Orthodox,Orthodox,0,0,16,4,13,4,43,20,39,20,1,0,2,0,2,0,0,0,12,2,15,2,1,0,1,0,0,2,0,2,1,2,2,2,1,2,1,2,11,0,13,0
1996-05-17,UFC 9: Motor City Madness,dan severn,ken shamrock,3,180,UFC Superfight Championship,Decision - Split,1,Southpaw,Orthodox,0,0,75,81,16,18,94,122,32,59,0,0,0,0,2,1,0,0,13,9,70,71,0,9,0,10,3,0,5,0,9,8,62,71,1,1,4,1,6,9,9,9
1996-05-17,UFC 9: Motor City Madness,cal worsham,zane frazier,1,194,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,11,2,9,1,33,2,29,1,0,0,1,0,1,0,0,0,6,0,6,1,2,1,2,1,1,0,3,0,1,1,3,2,0,0,0,0,8,0,8,0
1996-05-17,UFC 9: Motor City Madness,mark schultz,gary goodridge,1,720,Open Weight,TKO - Doctor's Stoppage,1,Orthodox,Orthodox,0,0,29,4,8,1,96,7,74,3,0,0,3,0,3,0,0,0,7,0,27,3,1,0,1,0,0,1,1,1,1,1,2,4,0,0,0,0,7,0,27,0
1996-05-17,UFC 9: Motor City Madness,rafael carino,matt andersen,1,332,Open Weight,KO/TKO,1,Orthodox,Southpaw,0,0,17,0,8,0,48,5,33,5,0,0,1,0,1,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,0
1996-05-17,UFC 9: Motor City Madness,mark hall,koji kitao,1,47,Open Weight,TKO - Doctor's Stoppage,1,Orthodox,Southpaw,0,0,3,2,3,1,4,2,4,1,0,0,0,1,0,1,0,0,2,1,2,2,0,0,0,0,1,0,1,0,2,0,2,1,0,1,0,1,1,0,1,0
1996-05-17,UFC 9: Motor City Madness,don frye,amaury bitetti,1,570,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,59,5,46,2,98,30,82,24,0,0,1,0,1,6,0,0,27,1,39,4,19,0,20,0,0,1,0,1,1,2,5,2,11,0,16,3,34,0,38,0
1996-07-12,UFC 10: The Tournament,mark coleman,moti horenstein,1,163,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,30,1,25,0,38,21,33,19,0,0,1,0,2,0,0,0,20,0,25,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,30,0
1996-07-12,UFC 10: The Tournament,mark coleman,don frye,1,694,UFC 10 Tournament Title,KO/TKO,1,Orthodox,Orthodox,0,0,60,6,34,1,105,22,71,17,2,0,3,0,5,2,0,0,30,1,56,6,4,0,4,0,0,0,0,0,2,1,4,6,4,0,5,0,28,0,51,0
1996-07-12,UFC 10: The Tournament,gary goodridge,john campetella,1,88,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,6,7,5,5,7,10,6,8,0,0,0,0,0,1,0,0,5,3,6,4,0,1,0,2,0,1,0,1,2,0,3,0,0,5,0,7,3,0,3,0
1996-07-12,UFC 10: The Tournament,mark coleman,gary goodridge,1,420,Open Weight,Submission,1,Orthodox,Orthodox,0,0,48,7,33,3,70,13,51,8,0,0,2,0,2,0,0,0,33,1,48,4,0,1,0,2,0,1,0,1,2,0,3,3,19,3,26,4,12,0,19,0
1996-07-12,UFC 10: The Tournament,brian johnston,scott fiedler,1,145,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,5,4,2,3,17,7,13,5,1,0,1,0,2,0,0,0,2,2,5,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,5,3
1996-07-12,UFC 10: The Tournament,don frye,mark hall,1,621,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,28,2,27,2,191,26,182,22,0,0,1,0,1,0,0,0,8,1,8,1,19,1,20,1,0,0,0,0,0,1,0,1,0,1,0,1,27,0,28,0
1996-07-12,UFC 10: The Tournament,geza kalman,dieusel berto,1,357,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,36,5,21,3,64,11,48,9,1,0,0,0,2,1,0,0,9,3,23,5,7,0,8,0,5,0,5,0,0,0,11,1,18,3,22,4,3,0,3,0
1996-07-12,UFC 10: The Tournament,don frye,brian johnston,1,277,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,16,22,11,11,48,39,42,28,0,0,1,0,1,0,0,0,4,5,9,13,7,4,7,6,0,2,0,3,1,0,4,6,5,11,7,16,5,0,5,0
1996-09-20,UFC 11: The Proving Ground,scott ferrozzo,david abbott,2,180,Open Weight,Decision - Unanimous,1,Orthodox,Switch,0,0,94,50,60,21,216,56,180,27,0,0,0,0,1,1,0,0,17,20,48,49,34,1,37,1,9,0,9,0,17,15,43,39,43,6,51,11,0,0,0,0
