days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
-1239,-6,0,-235,12,-467,0.51,1.39,-459,-1384,-46,-38,2.06,-1127.0,-157,1
-874,7,15,189,22,411,0.27,-0.74,358,687,-3,63,0.0,-762.0,143,0
641,-1,0,-108,-5,-101,-1.69,0.0,-101,-180,0,50,0.0,0.0,1,1
-3408,-13,-5,-357,-49,-850,-0.03,1.84,-742,-2777,-88,16,0.48,-356.0,-222,0
944,5,5,27,42,89,0.23,-2.53,-19,180,-3,28,0.12,14.0,64,0
-1369,-3,5,344,2,449,0.32,-0.5599999999999999,434,680,-43,22,0.35,-636.0,41,0
-509,2,1,-207,-53,-194,-0.0399999999999999,-0.92,-162,-175,-38,26,-0.53,-118.0,12,1
440,7,3,221,38,526,0.0499999999999999,-0.83,379,1138,-9,-2,-0.6199999999999999,118.0,225,1
2306,4,1,139,64,77,-0.7000000000000001,2.96,15,375,97,-11,0.51,602.0,-29,1
2729,15,7,205,62,292,0.32,0.4000000000000001,169,1029,44,3,-0.27,259.0,58,1
-272,-4,-7,-188,-74,-320,-0.59,-0.2,-237,-584,-3,-64,0.0,-90.0,-88,0
344,6,2,-91,139,-139,0.0,1.3000000000000005,-43,-164,54,-13,0.84,-126.0,-7,1
-4151,-9,-9,-538,-273,-676,-0.04,1.84,-325,-1568,-265,-62,-0.12,-119.0,-34,1
-1827,-2,0,18,-11,214,-0.3,-0.03,274,203,-14,19,-0.52,-231.0,75,0
-1246,-5,2,84,-26,-48,0.0,0.4699999999999997,-34,-289,-5,-6,-0.0799999999999999,-77.0,-61,0
-729,-3,-3,-149,-28,-110,0.09,-0.03,13,-104,-16,14,0.35,-91.0,-21,1
1249,-4,1,159,145,387,0.48,1.01,159,732,65,9,0.82,84.0,128,0
371,-4,10,86,27,-5,1.7600000000000002,0.63,-25,4,5,48,-0.44,70.0,-71,0
-1588,-10,-2,-531,28,-1092,-0.42,0.17,-1050,-2886,-23,-25,0.58,0.0,-115,0
711,7,-2,-30,37,-324,-0.01,-0.1099999999999999,-376,-144,-14,3,-0.61,0.0,-179,1
-357,0,-13,-28,-40,-127,-0.6,-0.2500000000000001,-73,21,-9,-24,0.0,294.0,-46,1
-1595,4,7,-354,-104,-331,0.51,-4.44,-148,-828,-103,-26,0.89,-63.0,85,1
-776,-5,-2,-532,-26,-828,0.05,-0.5,-734,-2057,-54,11,-0.09,-533.0,-135,0
686,6,2,-517,-23,-869,-0.52,3.53,-744,-1597,70,-56,0.6200000000000001,-28.0,-170,1
-4120,-6,-10,-198,-276,-245,-0.5,0.1299999999999999,117,-269,-23,9,0.12,-245.0,-21,1
-3086,-6,-6,-423,33,-755,0.81,0.98,-719,-1837,-28,-16,0.42,-448.0,-244,0
-1254,2,6,-192,19,-200,0.2199999999999999,0.74,-193,-707,13,-1,0.69,-644.0,151,1
-966,-7,-4,-467,-136,-622,0.44,3.68,-432,-1577,-50,25,0.0,-273.0,-9,1
-730,4,3,-112,-52,-323,-0.06,0.1099999999999999,-296,-1137,-14,9,-0.2299999999999999,-42.0,-52,1
1849,-4,-13,310,-30,153,-0.27,-0.3299999999999998,61,535,26,-31,0.97,-42.0,-81,1
-221,-2,-6,-77,-10,168,-0.24,-0.46,108,-122,-12,-31,-0.35,-70.0,153,0
-1063,-2,-7,-194,-12,-244,-0.82,1.08,-178,-362,14,-58,0.34,-245.0,-17,1
259,3,1,12,0,-3,0.0,0.64,-12,31,7,30,0.0,112.0,1,1
-1644,-4,-12,131,36,115,-0.3,-0.48,82,291,-1,-22,0.59,-1183.0,-10,0
837,2,-5,-229,37,-342,-0.41,-0.3,-394,-692,-9,-47,0.54,119.0,-44,0
475,3,0,46,5,105,0.24,-0.28,71,328,-6,-32,1.69,0.0,2,0
-2358,2,4,-175,-84,-205,1.0599999999999998,-3.1900000000000004,-98,-663,-101,0,-0.09,-420.0,-5,1
35,9,5,508,-4,597,0.34,-4.88,600,1789,-31,-1,-0.7,-98.0,8,1
1357,0,-3,171,14,239,0.0199999999999999,-1.66,251,772,-24,2,0.32,-175.0,75,0
-377,0,6,232,-51,310,0.0,-1.25,290,667,-16,3,-0.18,-664.0,0,0
4259,4,4,330,43,802,0.35,1.04,717,1766,29,18,0.17,1351.0,205,0
-469,5,-10,-242,-75,-471,-0.3500000000000001,1.34,-368,-822,-22,-10,0.0,-126.0,-103,1
-791,-6,-31,-507,1,-861,0.35,-0.41,-727,-1414,-12,-8,-0.24,-490.0,-122,1
-610,-2,5,327,40,452,0.1499999999999999,-0.4299999999999999,341,967,2,10,-0.28,-42.0,51,0
-56,-6,1,158,152,284,0.0,2.19,89,320,37,-9,0.35,0.0,37,0
-581,3,6,89,15,120,0.0,0.74,111,203,32,-34,-0.2299999999999999,-287.0,47,0
-245,2,14,272,1,398,0.17,-0.24,360,660,24,-15,0.44,28.0,78,0
993,3,7,253,37,376,-0.31,0.94,249,1083,46,18,0.36,497.0,35,1
-2521,-4,-14,195,-11,85,-0.29,-0.3999999999999999,139,136,-35,7,-2.63,-42.0,-37,1
-3375,-5,-10,-609,-255,-946,-0.78,-0.5399999999999998,-494,-1756,-22,-14,0.6699999999999999,-294.0,-212,0
0,2,15,43,-7,19,-0.23,2.88,16,134,43,-6,0.96,0.0,-10,0
0,-3,-10,-633,-142,-915,-0.23,-0.96,-594,-1593,-36,-41,-0.51,0.0,-62,1
-133,5,7,-26,-67,322,-0.09,-0.6900000000000001,216,429,-1,-9,-0.48,70.0,151,1
-1130,-2,0,-627,15,-774,-0.0499999999999999,4.22,-753,-1609,117,33,-0.06,-56.0,-4,1
567,0,-8,-178,-5,-254,-0.14,1.53,-27,-214,37,17,0.54,174.0,-52,0
-29,0,-10,-66,-63,-114,0.25,-2.8800000000000003,-41,-49,-77,49,-0.47,-42.0,-8,1
-245,1,6,277,17,232,0.37,0.12,128,686,14,14,-1.27,1358.0,-50,0
2820,2,-11,71,109,218,-0.3899999999999999,-1.3299999999999998,-9,228,35,-17,0.53,853.0,96,1
-2591,-13,-32,-405,-482,-828,-0.05,-1.42,-35,-1048,-60,-1,-0.83,-63.0,-52,0
-218,2,-15,-50,-11,-57,-0.11,-0.0900000000000003,-36,-253,-47,-49,-1.48,0.0,0,1
-140,0,1,73,1,122,0.37,-1.56,166,392,-49,-2,0.15,-266.0,75,0
881,1,-9,-316,-160,-387,-0.12,-2.03,-182,-711,-50,5,-1.94,196.0,10,1
195,-6,-4,-384,-136,-553,-0.3,-1.48,-301,-906,-61,3,0.0,-1056.0,-47,1
-1715,-4,0,-1255,79,-1938,-0.0299999999999999,1.43,-1923,-4584,75,-13,-0.1399999999999999,210.0,25,0
686,-1,0,-230,-165,-295,-0.0699999999999999,-0.86,-138,-543,-11,0,1.52,664.0,2,1
-791,4,2,-455,-3,-508,0.56,-0.95,-459,-992,-50,20,-0.39,-861.0,35,1
546,2,-2,-120,20,50,-0.29,0.25,16,206,12,-9,0.0699999999999999,91.0,114,1
350,0,-13,-446,-238,-570,-0.34,-2.73,-416,-1016,-69,-17,-0.3199999999999999,-7.0,-122,1
323,1,-4,-133,-248,-312,-0.39,0.8500000000000001,67,137,21,-21,0.07,266.0,51,1
1834,1,7,217,21,249,-0.17,1.56,196,988,33,6,-0.43,-112.0,-7,0
2652,6,16,-183,61,-335,-0.2199999999999999,-0.04,-377,-10,69,-27,0.73,-35.0,-91,1
-77,4,0,306,24,499,0.22,-1.13,519,1296,-35,-12,-0.31,-567.0,129,0
-1968,-4,-6,-331,-83,-410,-0.09,-1.72,-316,-738,-41,-12,0.25,266.0,-56,1
0,0,-2,-439,-141,-494,-0.16,-1.4700000000000002,-344,-889,-39,-23,0.5199999999999999,98.0,-37,1
-1638,4,0,283,20,622,-0.3,-1.09,463,1365,6,-1,-0.02,-1261.0,135,0
-2160,4,-2,119,2,254,0.27,-1.5,44,607,-28,10,-0.8400000000000001,0.0,8,1
753,1,-4,-54,2,26,0.7,-1.59,-39,-134,-20,-38,-0.16,259.0,10,1
-1347,-7,-5,55,-4,99,0.13,-0.81,99,265,-10,31,0.0,-679.0,14,0
748,1,8,190,57,269,0.68,1.14,190,462,16,26,0.68,-140.0,16,0
2099,-2,-7,10,9,-34,0.59,-1.46,-76,-257,-23,-3,0.42,651.0,-23,1
-1513,-3,-6,-666,-317,-1123,0.3399999999999999,-1.59,-734,-2816,-214,7,0.3,-427.0,-194,0
14,8,8,-143,-1,-383,0.01,-0.7,-356,-488,-32,19,-0.61,8.0,-95,1
56,4,-13,-229,-38,-433,-0.16,-2.31,-345,-615,-74,-26,0.26,-112.0,-66,1
-773,-8,-11,-114,-33,-182,0.3999999999999999,-0.5699999999999998,-130,-430,-15,5,-0.12,-693.0,-53,1
-1869,-7,-11,-306,-29,-305,0.13,-1.81,-291,-1200,-68,-7,0.12,-35.0,39,0
-2695,-12,-7,-310,-134,-602,-0.12,-1.13,-340,-1426,-76,8,-0.64,-749.0,-144,0
1088,1,3,20,-27,-93,-0.23,-0.23,-12,14,-7,-7,0.23,1155.0,-32,1
-1420,-10,-9,255,-38,221,-0.05,-0.31,303,233,-32,29,-0.07,-35.0,-76,1
-1805,-19,-11,-74,61,19,-0.08,0.0899999999999998,-234,-886,-45,24,0.02,-181.0,45,1
-1119,-4,-5,-50,43,-155,-0.06,0.25,-172,-56,6,-2,-0.4800000000000001,-168.0,-82,0
791,11,14,633,76,1447,-0.92,0.4899999999999999,1242,3188,100,7,1.0299999999999998,-903.0,404,1
840,3,5,437,52,310,-0.16,0.0999999999999999,231,565,36,9,-0.16,-56.0,-96,1
454,3,1,313,49,388,-0.0699999999999999,-0.04,75,451,8,-13,0.56,-406.0,-50,1
-1981,-10,-51,-130,-25,-158,0.18,-1.82,-72,-285,-30,-11,-1.51,-287.0,25,1
-669,9,13,-100,-13,-178,-0.47,0.0,-117,-370,-15,-20,0.0,0.0,-57,1
-1247,2,-3,-47,-107,-20,0.13,-3.86,6,-182,-63,-3,-0.4,-951.0,-27,1
-440,6,7,197,61,72,0.06,-0.17,-33,460,4,18,0.4599999999999999,-436.0,-106,1
2100,9,10,206,176,468,-0.15,2.37,106,796,187,-31,0.8999999999999999,139.0,114,1
1429,7,8,1133,68,1831,-0.39,0.55,1337,3582,63,10,-0.14,-35.0,102,0
552,0,1,-438,-38,-644,-0.48,3.42,-543,-1209,22,10,0.0,552.0,-32,1
-182,2,-6,-178,-61,-211,-1.56,-1.3600000000000003,-66,-334,2,-25,0.15,-98.0,-18,1
14,0,10,18,17,31,-0.0699999999999999,1.29,23,158,12,6,0.6599999999999999,-7.0,22,0
-1295,-10,-13,-764,-182,-1413,-0.13,1.1,-975,-2866,-105,13,0.4,140.0,-303,0
-1162,7,6,21,21,129,0.6,0.4800000000000004,68,275,27,-6,-0.72,-785.0,68,1
-172,1,7,370,14,480,-0.22,-2.18,371,1010,-11,5,-1.08,0.0,58,1
21,2,2,26,8,92,0.28,-0.6399999999999999,87,330,5,-11,-0.52,0.0,38,0
-208,2,-7,-24,-142,45,-0.03,-2.31,197,1137,-66,-26,0.0,-84.0,-64,1
-294,2,2,-63,-62,-13,1.1,-0.91,75,-14,-1,-4,0.0,0.0,20,0
-1497,-7,-9,-843,-38,-870,0.48,-0.33,-773,-2128,-23,4,-0.33,-119.0,60,0
-3243,3,-13,-438,-214,-1015,0.8200000000000001,-1.5799999999999998,-611,-1643,-91,-12,-0.15,-104.0,-335,1
-1372,4,-3,-230,-41,60,0.0099999999999999,0.5599999999999998,130,-213,-23,-13,0.39,42.0,97,1
1485,2,12,233,-59,334,-0.0299999999999999,-0.1100000000000001,376,758,38,-12,0.5800000000000001,-707.0,26,1
378,-3,-12,-322,-226,-361,-0.2199999999999999,1.5499999999999998,-46,-634,21,47,0.3,616.0,16,1
-34,-3,2,177,93,347,0.56,0.02,203,440,10,-5,-0.0399999999999999,-294.0,141,1
238,-1,1,77,6,249,-0.18,0.7499999999999999,178,399,-5,-14,0.77,56.0,37,0
0,2,8,80,37,152,-0.21,1.66,93,117,59,-17,1.32,0.0,68,0
-1193,6,6,445,25,733,0.16,-3.09,659,1581,11,-35,-0.22,-378.0,106,0
-144,0,4,328,253,404,0.06,4.75,48,963,244,22,-0.13,105.0,50,0
1750,1,-4,49,88,59,0.0,0.9900000000000002,-70,117,65,-5,0.07,21.0,-25,0
-2485,-13,-24,-242,-36,-590,0.1599999999999999,0.3799999999999999,-475,-1609,-63,18,-1.52,-98.0,-202,0
-2434,2,-2,-123,-78,-258,-0.24,-2.08,-81,-568,-46,-17,0.19,-287.0,-31,1
-2371,-6,-1,80,51,161,-0.3299999999999999,0.7,143,-85,-7,-10,0.56,-378.0,201,1
-2922,-12,-13,-88,-90,-179,0.02,-0.6299999999999999,88,-366,-43,-1,-0.08,-442.0,63,0
-1080,3,7,-304,-97,-528,-0.23,-2.17,-270,-913,-85,-12,-0.08,-259.0,-94,1
1174,1,3,48,4,-84,0.48,-0.76,-94,98,-23,5,0.35,-357.0,-104,1
55,0,-1,-202,-54,-257,-0.1,-0.02,-163,-700,-36,-1,-0.59,7.0,9,1
3,-1,-3,3,11,-38,0.0,-0.0099999999999999,31,-16,-6,-37,-0.0099999999999999,0.0,-15,1
-406,0,10,77,0,121,0.16,0.1099999999999999,124,161,-5,37,-0.0199999999999999,-462.0,-2,0
-2432,2,-4,-288,-67,-420,-0.15,-0.56,-346,-902,-16,4,0.0,-175.0,-88,1
-707,-4,3,-229,14,-406,0.15,0.53,-237,-1021,-7,-10,-0.19,-427.0,36,0
337,5,7,115,31,198,0.4399999999999999,-3.1500000000000004,185,398,-26,-10,-1.91,-70.0,-18,1
1966,9,22,214,89,393,0.89,1.4,272,620,24,59,0.51,476.0,123,0
12526,0,4,-179,-25,-266,0.6299999999999999,1.54,-249,-511,-9,-40,0.41,168.0,-30,1
1779,11,8,1085,43,1636,0.12,-1.2199999999999998,1283,3373,31,1,0.0,28.0,85,0
441,0,4,298,19,464,0.7,0.42,389,964,10,74,0.0,35.0,83,0
65,-1,-9,-198,-2,-224,-0.1699999999999999,0.69,-210,-433,3,-52,0.0,813.0,-3,1
98,6,7,258,-13,368,0.38,0.44,394,615,18,13,0.11,-28.0,59,0
1749,1,3,88,11,-13,0.08,1.97,-19,-30,35,21,0.0,1206.0,-11,0
-504,-5,-3,-147,-75,-179,-0.67,-0.77,-72,-311,8,-9,-0.79,-378.0,38,1
-897,-2,-13,-508,-142,-701,-0.3,-1.26,-523,-1556,-56,-20,0.39,560.0,-80,1
1602,-4,-13,-351,-86,-549,0.76,-1.65,-437,-1018,-44,14,-0.1099999999999998,509.0,-85,1
-603,2,9,-61,1,-32,2.11,-0.2699999999999999,-37,-95,-14,41,-0.72,-343.0,14,1
718,2,5,390,89,582,0.37,0.81,454,1334,30,38,-0.13,0.0,85,0
-1119,-3,-10,-232,-46,-510,-0.06,2.8200000000000003,-402,-1046,-18,-11,0.42,-440.0,-108,1
-255,2,-1,123,22,202,-0.21,1.96,143,475,25,-5,-0.55,0.0,30,1
-2192,-1,1,-16,37,-54,-0.85,3.34,-99,-195,12,57,0.48,0.0,-7,0
-636,-10,2,-83,-7,25,0.37,-2.97,94,-224,-35,13,-0.1,-42.0,39,0
-630,-3,1,334,28,523,-0.32,1.2,427,1037,26,18,-0.52,-147.0,87,1
-140,2,-3,-39,-61,-74,0.0,-1.18,40,41,-30,33,-0.2,-287.0,-18,1
-928,12,3,-280,-187,-378,0.21,-1.4700000000000002,-175,-766,-90,10,1.58,-287.0,-43,1
237,7,6,-170,-41,-182,-0.12,-2.12,-153,-295,-35,-14,-0.76,20.0,-59,1
-2267,-3,-4,-197,20,-483,0.39,0.28,-417,-2093,-24,-4,0.7800000000000001,-105.0,-164,0
-518,0,-2,223,-61,253,0.08,-1.07,375,631,-37,6,-0.3099999999999999,49.0,10,1
-924,-16,-30,-231,-46,-314,-0.22,2.42,-251,-673,-43,-3,-1.41,42.0,-37,1
973,0,-1,-81,27,-121,0.0,-1.0,-144,-184,-52,-67,-1.24,147.0,-33,1
133,7,5,116,-2,323,0.0,-1.2699999999999998,333,801,29,5,0.11,14.0,94,1
-161,3,6,-123,-20,-192,0.2099999999999999,1.55,-209,-577,16,15,0.0,-161.0,-41,1
-455,-5,-10,-523,-263,-582,0.72,-0.9300000000000002,-94,-1083,-117,6,-0.25,-461.0,108,1
1758,0,-11,-203,64,-578,0.13,1.52,-674,-1227,60,1,-0.14,602.0,-236,1
-1097,-3,-8,-198,-95,-241,-0.26,-0.4700000000000002,-219,-623,-27,-13,-0.82,70.0,-27,1
1750,3,-2,-135,-5,-61,-1.04,1.75,-92,-399,16,2,0.41,658.0,34,1
976,2,-9,-552,13,-728,-0.2299999999999999,2.43,-739,-997,29,-18,0.36,-567.0,8,1
1281,3,17,-129,-73,50,0.39,-0.9500000000000002,26,-379,-7,-19,1.87,-14.0,109,0
-1001,-4,-5,-107,-33,-167,0.0,-0.93,-101,-373,-17,23,0.8500000000000001,70.0,-42,0
-189,-1,6,-59,-34,-84,-0.98,-1.21,-56,-88,-36,10,0.03,0.0,-3,0
-1204,-7,-5,-369,-56,-628,-0.15,-0.5,-442,-1533,-45,12,-0.45,-371.0,-99,1
1261,1,1,167,38,156,0.0,0.13,201,1105,12,-21,-0.88,-189.0,-38,0
560,0,-10,62,-111,331,0.1399999999999999,-0.98,546,460,-46,26,-0.51,-182.0,221,1
-1763,-7,-11,95,43,108,0.0,1.4700000000000002,59,183,-73,38,-1.52,-350.0,-30,0
-1457,0,0,721,44,963,0.0199999999999999,-0.31,887,2112,8,-23,-0.1899999999999999,-266.0,90,0
-2471,-2,-6,-37,-141,195,0.16,-0.3700000000000001,327,237,-163,-8,-0.53,28.0,134,0
1903,2,9,153,44,176,-0.03,1.72,24,305,47,-4,0.4800000000000001,-42.0,-66,0
1660,5,-1,92,60,-12,-0.09,-0.9299999999999996,-179,-173,17,-29,-0.36,-14.0,-57,1
-259,-2,-1,-173,-71,-266,0.17,-0.2,-187,-498,-2,14,0.0,-77.0,-54,1
1260,-1,8,371,-18,407,-0.32,0.9799999999999998,487,1886,53,8,-0.0999999999999999,1099.0,47,1
-1141,3,-2,142,-17,264,-0.48,-0.76,278,461,-7,0,-0.31,-293.0,89,1
-538,-2,-7,-139,32,-233,-0.2399999999999999,0.01,-296,-119,12,-12,-0.0599999999999999,-63.0,-89,1
-2225,-6,1,-158,-72,-296,0.5,-0.29,-320,-1143,-13,2,-0.88,-98.0,5,0
120,7,12,462,72,1138,0.4600000000000001,0.5499999999999999,952,2483,85,14,0.0999999999999998,-42.0,345,1
-3716,-10,-5,11,-160,-299,-0.33,-0.77,-30,-552,-61,15,-0.3,-469.0,-219,0
1074,7,10,288,-26,464,-0.53,-1.24,360,951,-16,30,-1.73,498.0,113,1
1371,4,-4,124,-77,238,-0.11,-1.5700000000000005,316,994,-26,5,-0.1899999999999999,50.0,115,1
2625,-9,-36,568,120,824,0.0499999999999999,-0.07,587,1521,92,-6,-0.79,791.0,146,1
85,-13,-5,319,373,132,-0.0499999999999999,1.67,-266,242,77,10,0.3399999999999999,-105.0,-157,0
1553,7,11,211,48,197,0.28,-0.58,105,514,16,-16,-0.03,-182.0,15,0
833,14,15,139,28,173,0.12,-0.29,142,561,10,-8,-0.64,-126.0,20,0
-1030,4,-12,43,117,181,-0.1499999999999999,0.41,97,169,37,-3,0.09,70.0,9,1
-1725,-9,-12,-199,-40,-397,-0.12,0.24,-374,-922,-1,8,-0.86,-581.0,-95,0
1426,1,-2,-260,-43,-321,-0.11,-1.23,-256,-588,-15,-34,0.47,-308.0,4,1
1207,-1,-9,-216,35,-325,-0.37,-1.1199999999999997,-364,-831,-65,-28,0.74,-371.0,-80,1
-149,9,0,771,16,1532,0.0399999999999999,-2.22,1087,2816,-20,16,-0.55,-231.0,150,1
700,6,0,125,35,247,0.25,-0.43,170,631,2,-14,-0.51,0.0,40,1
-3597,-5,-11,-495,-238,-634,0.06,-2.1100000000000003,-265,-1878,-185,16,-0.31,-853.0,17,0
-812,-1,2,-458,-64,-649,0.0,1.44,-503,-1645,2,27,-0.2399999999999999,-161.0,-118,1
2438,2,5,14,-82,525,0.21,-0.44,617,1239,-40,16,-0.14,420.0,258,1
182,12,14,286,-66,779,0.2199999999999999,-5.449999999999999,750,1763,-58,-12,-1.39,70.0,308,0
-702,-9,-34,-488,-429,-1004,0.51,-1.13,-254,-1255,-54,-3,-0.69,-91.0,-149,1
-231,1,-5,-266,-40,-464,-0.56,0.81,-417,-1096,12,5,-0.19,-70.0,-75,1
1324,-2,7,-124,-47,-137,-0.3399999999999999,-0.3799999999999999,-77,-110,-54,2,0.0,77.0,41,0
1106,2,1,179,74,484,0.02,-0.0999999999999999,322,765,7,-1,0.6799999999999999,-322.0,187,1
-4130,-15,-16,-476,-149,-700,0.3,-1.3199999999999998,-294,-1189,-57,-9,0.69,63.0,2,0
-869,-2,-8,-415,3,-703,-0.06,0.12,-718,-2434,-25,4,0.12,91.0,-120,1
-1280,-5,-1,-136,-193,-77,-0.19,-0.5999999999999999,143,-5,-23,29,-1.35,28.0,85,0
-256,0,3,-142,-60,-112,0.0,-0.77,-119,-384,-20,17,-0.33,-98.0,6,1
-252,2,-5,-381,-102,-377,0.36,-0.63,-269,-1004,-67,40,-0.93,-462.0,3,1
336,0,3,-472,-57,-674,-0.48,0.64,-543,-1250,10,7,0.0,189.0,-35,0
-2062,-4,-9,-616,-105,-910,-0.23,1.87,-631,-1666,-35,-4,-0.54,-84.0,-66,1
2502,-1,-3,46,53,188,0.22,-0.4599999999999999,-16,203,-10,-6,-0.12,-98.0,85,0
-105,0,-8,-637,-25,-925,-0.1099999999999999,0.1999999999999999,-886,-1820,-6,-14,0.3999999999999999,-105.0,-141,1
6,5,-6,359,28,390,0.0199999999999999,-1.354,480,1078,15,59,0.246,-42.0,53,1
-930,2,3,169,-20,204,-0.3799999999999999,1.06,348,434,56,-34,0.07,-553.0,92,0
-2947,-5,-4,104,-107,-80,0.21,-3.06,143,-27,-121,-14,0.07,-882.0,-125,0
-3184,-12,-5,-547,99,-967,-0.09,2.05,-1010,-1976,42,-10,1.5500000000000005,-147.0,-140,1
-1436,0,-6,95,-73,-173,0.29,-1.2299999999999998,53,-1,-105,20,-0.3999999999999999,42.0,-18,1
-816,2,3,82,-29,144,0.25,-0.2599999999999998,167,372,7,10,-0.75,-812.0,6,0
35,8,3,-205,-8,-334,0.17,-0.49,-254,-588,-34,-16,0.67,-802.0,6,1
707,14,23,286,-3,331,-0.12,0.8400000000000001,300,785,44,-17,0.7299999999999999,-294.0,-11,1
-344,-8,-12,-628,-292,-917,0.09,-1.41,-402,-1703,-120,15,0.77,119.0,-61,1
-2113,-2,-14,-499,-200,-730,-0.63,-1.55,-542,-1379,-39,-55,-0.4999999999999999,-77.0,-148,1
-1767,1,2,35,12,113,0.51,0.2199999999999999,76,149,-36,-10,0.27,-308.0,63,0
919,4,-3,-135,34,20,-0.37,1.67,-120,19,69,-19,-0.12,-231.0,52,0
-3818,-2,-7,-1000,-51,-1152,0.24,1.12,-975,-2920,-61,-13,0.8600000000000001,-1225.0,-42,0
-2312,-13,-6,169,-23,316,-0.17,-0.07,356,-843,-8,-25,0.13,-273.0,37,0
0,4,6,-10,-6,-13,0.0,-4.69,4,-23,-23,-40,0.0,0.0,4,0
581,2,0,-25,-29,50,-0.04,-0.29,52,213,-2,20,-0.57,301.0,52,1
1873,-10,-17,-91,-15,-177,-0.6,0.0,-159,-582,1,12,0.48,0.0,-42,1
866,2,-2,13,26,46,0.02,3.71,-3,12,28,-20,0.02,588.0,-10,1
-917,2,-8,-621,-258,-967,-0.06,-4.1,-563,-2267,-260,-51,0.3999999999999999,-119.0,-176,1
338,3,10,935,48,1163,-0.31,0.71,1068,2594,52,25,-0.13,28.0,121,0
-2036,-4,-8,-174,-7,11,0.15,-1.83,-99,-551,-62,-23,0.35,-161.0,60,1
-1518,-3,3,-83,-18,-183,0.32,-1.51,-171,-600,-51,41,-1.0,202.0,-137,1
-1232,-5,-6,-143,54,-159,0.0,1.2200000000000002,-103,-472,23,21,0.36,-71.0,-42,0
-130,-4,-4,-47,-23,-78,-0.75,-0.2099999999999999,-17,96,8,-31,-0.01,133.0,-19,1
-258,-14,-9,107,49,196,-0.0099999999999999,-0.26,80,66,-12,37,0.13,-21.0,54,0
2839,-7,-6,-541,-43,-755,0.54,0.24,-489,-1602,-9,-30,1.43,853.0,-60,0
-399,-8,-17,-274,-34,-530,0.0,1.41,-460,-1200,-41,-68,1.39,-280.0,-111,1
-3695,-13,-26,-554,-120,-1025,-0.2,-0.32,-730,-2464,-70,1,-0.96,-399.0,-248,1
-1099,-2,-6,-246,9,-309,0.75,-0.3600000000000001,-282,-653,-11,-53,1.12,-385.0,-4,0
-867,-2,6,-186,177,-268,0.0,2.35,-369,-956,70,1,0.47,294.0,-83,0
-398,-2,-7,-324,-20,-647,-0.05,-0.2099999999999999,-375,-1115,-47,-13,0.17,511.0,-64,1
-216,-2,-4,170,2,268,-0.2299999999999999,-0.6600000000000001,203,-171,-31,45,0.36,-112.0,62,1
-223,6,19,292,-168,589,0.0699999999999999,-4.77,693,885,-116,40,0.24,-63.0,82,1
358,2,-3,-855,-105,-1080,0.82,-1.97,-965,-2557,-118,-15,-0.15,-56.0,-88,1
-420,-4,-1,105,6,236,0.01,0.6399999999999999,216,436,42,17,-0.54,21.0,84,0
-407,6,7,-276,-89,-283,0.52,-1.17,-160,-610,-24,9,-0.4999999999999999,196.0,18,0
280,5,3,107,17,275,0.03,-1.65,249,488,-21,-37,0.0,253.0,120,0
-253,-3,-14,-297,-54,-487,-0.31,0.4700000000000002,-417,-914,-8,26,0.75,-119.0,-69,1
-1273,2,-6,-823,-86,-776,-0.02,-0.4199999999999999,-502,-1479,-46,14,-0.91,-315.0,33,1
-2883,-7,-8,-556,-65,-807,0.12,-0.45,-693,-1831,-30,-56,0.44,-525.0,-148,0
1407,11,18,70,49,167,-0.25,1.2000000000000002,17,276,30,-23,0.38,1407.0,-12,0
-427,1,3,-50,-18,-61,-0.0499999999999999,6.140000000000001,-32,-158,23,39,0.92,-427.0,-1,1
0,4,4,63,-3,134,0.0,-0.81,121,367,-12,52,-0.49,0.0,65,1
196,-1,-7,-169,-28,-356,-0.43,0.3399999999999998,-281,-784,3,-41,1.4,-98.0,-132,1
1092,13,14,66,-170,130,-0.01,-1.41,295,492,-84,-17,0.23,42.0,121,1
1680,-2,-4,-224,41,-371,0.07,-0.7799999999999998,-480,-1112,-18,-48,0.3999999999999999,420.0,-103,1
-910,-4,-3,-268,-25,-423,0.4499999999999999,0.33,-258,-1174,-20,3,-0.45,140.0,-86,0
-904,-5,-5,-73,-19,-66,1.37,-3.22,-49,-185,-76,14,1.18,441.0,2,1
-518,4,-7,-81,-13,43,-0.16,0.65,60,90,19,-2,0.03,-147.0,85,1
1353,1,9,222,28,645,-0.13,0.32,574,1462,25,-2,-0.3099999999999999,245.0,197,0
-2590,-6,-8,-183,-51,-286,-0.38,0.12,-200,-600,-16,-37,-0.25,-406.0,-46,1
1715,4,0,1255,-79,1938,0.0299999999999999,-1.43,1923,4584,-75,13,0.1399999999999999,140.0,-25,1
-21,1,-7,-449,-85,-817,-0.18,-1.09,-634,-1154,-23,1,0.0,-315.0,-269,1
1953,2,-5,-207,-43,-273,-0.31,-2.3600000000000003,-206,-456,-47,-30,-0.04,-291.0,-52,1
41,-5,-7,-247,-10,-476,-0.17,0.85,-387,-1057,-2,-14,1.28,0.0,-97,0
