days_since_debut_diff,losses_diff,wins_diff,head_target_diff,sig_strikes_ground_diff,sig_strikes_landed_diff,knockdown_avg_diff,takedowns_avg_diff,sig_strikes_standing_diff,sig_strikes_attempted_diff,takedowns_attempted_diff,takedown_defense_diff,submission_avg_diff,days_since_win_diff,leg_target_diff,winner
-347,6,7,-22,-18,75,-1.34,0.0899999999999999,49,339,6,-19,0.37,129.0,23,1
-238,2,1,-178,-115,-303,0.0,-1.0,-101,-718,-87,-17,-1.32,28.0,-58,1
-315,1,-2,78,2,117,0.0,0.3399999999999999,78,343,19,5,0.66,0.0,11,1
126,-11,-17,-157,-60,-241,-0.17,-0.52,-135,-629,-11,-12,-1.04,-35.0,-36,1
147,2,-4,15,-7,91,1.74,-1.72,115,157,-10,-10,-0.64,147.0,73,1
-277,0,-6,-47,7,-140,0.12,-0.43,-143,-304,-9,-6,-0.6299999999999999,231.0,-82,1
-455,-9,-17,-493,-86,-855,-0.47,0.35,-723,-2638,-39,-40,2.12,38.0,-245,1
-784,0,6,-138,-2,-244,-0.03,1.26,-154,-408,29,22,-0.03,-371.0,-79,1
-147,7,2,191,1,491,0.13,-0.08,339,1145,35,2,0.02,-147.0,74,1
14,-10,-21,-291,-45,-562,-0.24,-0.56,-485,-1134,-15,24,-0.69,0.0,-141,1
-329,1,-4,-232,-159,-285,0.4299999999999999,-0.1700000000000001,-87,-756,-6,-31,2.02,70.0,-23,1
0,-10,-10,-506,-24,-945,0.15,-0.74,-824,-2261,-39,-1,0.0,0.0,-175,1
-336,-6,-1,-110,6,-208,-0.6099999999999999,1.2799999999999998,-205,-538,-1,-27,-0.1499999999999999,-175.0,-63,1
0,8,10,57,24,48,0.47,-0.09,39,165,-9,-48,-3.09,0.0,-9,1
-532,0,1,-94,-24,-122,-0.39,-3.55,-65,-322,-13,-62,4.74,-35.0,-18,1
0,1,-2,-97,-42,-169,-0.48,-1.2,-78,-327,-9,-71,-0.96,0.0,-35,1
175,4,8,81,82,192,-0.19,1.09,128,343,21,5,-0.1999999999999999,-14.0,37,1
455,-1,3,182,119,208,0.73,0.06,40,360,6,32,-2.92,273.0,4,1
-329,1,-1,-29,-131,86,0.2799999999999999,-1.3000000000000005,160,79,-57,-35,-0.02,-224.0,5,1
314,-7,-16,-425,-126,-805,0.0999999999999999,-0.3,-584,-2082,-68,-3,-1.1,182.0,-217,1
599,-7,-9,-63,20,-206,-0.17,-0.4200000000000004,-160,-395,-39,-21,2.03,-35.0,-106,1
0,-3,-15,-62,-7,-82,0.0,0.49,-51,-278,-3,-31,1.4,0.0,-2,1
-224,-2,-6,-223,-155,-474,0.0,-3.51,-169,-1090,-76,-22,-0.04,7.0,-106,1
-370,7,1,128,60,302,0.12,-1.2699999999999998,165,670,-33,6,-1.5499999999999998,-493.0,65,1
539,-3,-11,-346,-35,-321,-0.44,-3.26,-199,-727,-129,-3,0.01,413.0,-54,1
546,0,0,-908,-41,-1075,0.1,-0.6600000000000001,-907,-2669,-49,-52,-0.28,462.0,-44,1
877,2,-6,-37,-12,-31,0.1,-3.38,-29,-28,-39,44,-0.67,0.0,13,1
28,-2,-4,-138,-137,-232,-0.22,0.54,-43,-398,-46,25,-0.07,203.0,-14,1
98,2,3,-23,15,-27,-2.87,1.0,-43,-129,8,-4,0.86,98.0,5,1
-168,1,-1,-316,-92,-696,0.59,1.4500000000000002,-580,-1789,22,47,-0.63,0.0,-218,1
129,0,-5,-56,-67,-93,-0.71,0.53,27,-42,5,20,0.3,280.0,-59,1
-452,-7,-13,-261,-126,-402,-0.27,-3.55,-224,-820,-69,-25,-0.1799999999999999,-263.0,-56,1
-753,-3,-12,-39,-23,23,-0.39,-1.11,-13,-39,-6,27,-1.93,0.0,3,1
448,-8,-14,-257,-87,-347,0.45,-0.49,-196,-785,-49,-10,0.03,403.0,-57,1
-241,-15,-19,-686,-203,-1187,-0.27,-1.11,-882,-2790,-77,-29,0.42,133.0,-293,1
-98,-4,-2,-404,-109,-820,0.2299999999999999,1.14,-515,-1955,-73,-25,0.94,0.0,-118,1
87,0,7,53,50,62,-0.24,1.9,-30,4,38,-54,0.3500000000000001,42.0,8,1
0,-5,-15,-540,-172,-894,-0.1,-0.8099999999999996,-525,-1713,-172,-33,0.3600000000000001,0.0,-123,1
-336,-16,-26,-760,-181,-1284,-0.2,-1.5,-909,-3000,-100,-11,-1.7,-70.0,-266,1
539,0,-4,158,-10,170,-0.2,-0.7100000000000001,203,846,-10,-28,0.98,-109.0,-23,1
511,-8,-21,-959,-257,-1637,0.2,0.07,-1086,-3269,-172,11,-0.1699999999999999,0.0,-265,1
-553,11,25,23,-205,72,-0.67,-4.45,352,632,-59,-16,0.0299999999999999,-259.0,-8,1
3,-4,-4,-109,-14,-229,-0.15,-1.99,-140,-553,-36,5,0.0,0.0,-73,1
-231,6,3,309,127,397,0.18,0.7999999999999998,144,860,59,-27,0.3099999999999999,-763.0,64,1
-245,-11,-27,-289,-56,-533,-0.24,2.56,-447,-1112,-8,-56,-0.6399999999999999,-133.0,-126,1
-455,1,-3,-96,3,-185,-0.28,1.7,-171,-527,8,11,1.99,-28.0,-75,1
-364,-15,-18,-583,-167,-953,-0.6,-0.4099999999999999,-545,-1684,-48,3,2.5,-217.0,-78,1
364,-1,2,151,136,326,-0.48,2.31,92,837,67,18,-0.4199999999999999,-49.0,68,1
0,-2,-5,-320,-30,-456,-0.4599999999999999,0.04,-390,-1149,-35,-53,-0.4,0.0,-86,1
189,-1,-4,-63,5,-129,0.1299999999999999,1.17,-66,-405,6,-74,3.51,336.0,-34,1
-273,-7,-11,-243,81,-544,-0.3199999999999999,0.4700000000000001,-625,-1822,-25,-34,1.16,0.0,-231,1
637,4,-6,13,-114,85,0.29,-2.34,147,20,-40,-5,-0.3299999999999999,0.0,86,1
-273,-4,0,-58,49,-120,-0.4,1.77,-107,-260,5,-11,0.78,0.0,-17,1
-882,-3,-5,-192,-135,-307,0.0,-2.84,-73,-669,-96,19,-1.32,-231.0,-55,1
